name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),img1,img2
Sala Razzmatazz,Discoteca,Barcelona,"Carrer dels Almogàvers, 122, Sant Martí, 08018 Barcelona",salarazzmatazz.com,NO_EMAIL,933208200,4.2,20729,Cervezas y copas en una animada discoteca que ofrece conciertos y sesiones de DJs.,"[{'day': 'viernes', 'hours': '0:30–5:00'}, {'day': 'sábado', 'hours': '1:00–6:00'}, {'day': 'domingo', 'hours': '1:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '0:30–5:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipN4W2xUHaRaS7UTGvRonJzAIJ_jD7g4io8LyeiR=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMIjj9qvuGCfMqHoisRmAVOazbH4APvsH2WrEwJ=w408-h306-k-no
Mirablau,Restaurante de cocina española,NO_CITY,"Plaça del Doctor Andreu, s/n, Sarrià-Sant Gervasi, 08035 Barcelona",mirablaubcn.com,mirablau@mirablaubcn.com,934185879,4.3,12043,"Tapas y vinos catalanes en una terraza con vistas a la montaña, música dance y ambiente animado por las noches.","[{'day': 'viernes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0011:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:0011:00–24:00'}, {'day': 'lunes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'martes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'miércoles', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'jueves', 'hours': '0:00–3:0011:00–24:00'}]",Carta,https://lh5.googleusercontent.com/p/AF1QipN-w_CGnyxVI2RGz4ZYUo3B808R-yr_3jYpjZ5f=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMFPU-N5T3BktjORbEBPQQ_RsscULq0ucrhBG10=w426-h240-k-no
Sala Apolo Barcelona,Discoteca,Barcelona,"Carrer Nou de la Rambla, 113, Sants-Montjuïc, 08004 Barcelona",sala-apolo.com,curriculum@sala-apolo.com,934414001,4.2,11007,"Gran sala de conciertos de 2 niveles, con 2 bares, fiestas con DJ semanales, actuaciones musicales y eventos.","[{'day': 'viernes', 'hours': '0:00–5:00'}, {'day': 'sábado', 'hours': '0:00–5:00'}, {'day': 'domingo', 'hours': '17:00–5:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '0:00–5:00'}, {'day': 'miércoles', 'hours': '0:00–5:00'}, {'day': 'jueves', 'hours': '0:00–5:00'}]",Servicios,https://lh5.googleusercontent.com/p/AF1QipNBkSW4ySClg5yDT1AD7sA94KTe8obUgxTlKVp6=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOsWYcXAEJtiHzAodsujWhnPWoSmsAakDqwu5DK=w408-h397-k-no
Wolf Barcelona,Discoteca,Barcelona,"Carrer dels Almogàvers, 88, Sant Martí, 08018 Barcelona",wolfbarcelona.com,NO_EMAIL,672707844,4.3,7674,NOT_FOUND,"[{'day': 'viernes', 'hours': '0:00–5:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': 'Cerrado'}]",Amigable con la comunidad LGTBI+,https://lh5.googleusercontent.com/p/AF1QipPA8FIGB5yFfIdDYr1TofDfoucYiMAFIBpfgpY=w154-h92-k-no,https://lh3.googleusercontent.com/p/AF1QipOyB3XWW8Y6T4aX1d4PqBz9kuLXoB0egzMWOzpp=w426-h240-k-no
Bar El Tomás de Sarriá,Bar de tapas,Barcelona,"Carrer Major de Sarrià, 49, Sarrià-Sant Gervasi, 08017 Barcelona",eltomasdesarria.com,NO_EMAIL,932031077,4.3,6632,"Bar clásico, especializado en patatas fritas al estilo tradicional con salsa picante, donde se sirven tapas y cerveza artesanal.","[{'day': 'viernes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'sábado', 'hours': '12:00–16:0018:30–22:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'martes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'miércoles', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'jueves', 'hours': '12:30–16:0018:30–22:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipMwamB6Y6TxDeBE35srsUTbCeOkzbcc5sPVnYdv=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMG0zSS6rFcCMeZ1XavyBbemBKTA-sQWmjtboNF=w586-h240-k-no
Luz de Gas Barcelona,Discoteca,Barcelona,"C/ de Muntaner, 246, Sarrià-Sant Gervasi, 08021 Barcelona",luzdegas.com,comunicacio@luzdegas.com,932097711,4.0,6369,"Sala de conciertos y local nocturno con una decoración refinada, lámparas de araña, escenario y bar.","[{'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '0:00–6:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipM02QTPvcjW6esK6ca1XOiO8z50yUd5wMxgcsGx=w163-h92-k-no,NOT_FOUND
Otto Zutz Barcelona,Discoteca,Barcelona,"Carrer de Lincoln, 15, Sarrià-Sant Gervasi, 08006 Barcelona",ottozutz.com,NO_EMAIL,669266410,3.2,4982,"Discoteca con varias salas e iluminación ambiental, especializada en R&B, hiphop y reguetón.","[{'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0018:30–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '23:55–24:00'}]",Amigable con la comunidad LGTBI+,https://lh5.googleusercontent.com/p/AF1QipMoN29MIXnuoQuLnBgZ9IrX78aeFFfItTY1cIOO=w138-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOGeCBGZ56xQOPgFJN9r3_2aUvVxJnOLvZAvgOD=w408-h272-k-no
Sutton Barcelona,Discoteca,Barcelona,"Carrer de Tuset, 13, Sarrià-Sant Gervasi, 08006 Barcelona",suttonbarcelona.com,info@suttonbarcelona.com,689785046,3.2,4576,Discoteca animada y lujosa donde tomar cócteles y bailar al ritmo de la música pop que pinchan los DJs.,"[{'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '23:55–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0023:55–24:00'}]",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNvig-Q5FciOl2iIBBzogRH6zSR8lqVk_5WgoRM=w137-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipO3Jm7P4ZvxMjVhV3igqdNznKeNx2BtIx8ITLY9=w426-h240-k-no
Sala Salamandra,Sala de conciertos,L'Hospitalet de Llobregat,"Av. del Carrilet, 235, 08907 L'Hospitalet de Llobregat, Barcelona",salamandra.cat,NO_EMAIL,933370602,4.2,4231,Conciertos en vivo y sesiones de DJ en una espaciosa discoteca con barriles de aceite en la pista de baile.,NOT_FOUND,NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipOz4ZTCYg196iVl0H-FBA1wq9xJ-OD5EjE_wcIY=w204-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOg0j-lFAfZlQm8-5-XBvt9fa0Ib9ls71rC7RBn=w415-h240-k-no
Touch Music Karaoke BARCELONA,Karaoke,Barcelona,"Carrer de Joan Miró, 8, Sant Martí, 08005 Barcelona",karaokebcn.com,touchmusic@karaokebarcelona.com,NO_PHONE,4.5,3733,"Bar karaoke con un escenario tradicional al fondo, curiosos efectos de luz y una amplia carta de canciones.",NOT_FOUND,Cerrado ⋅ Apertura: 22:00,https://lh5.googleusercontent.com/p/AF1QipOfxlKsz4vKMQc9Kua-z5Joir2_llUfhzTfnTQ5=w184-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNF9WixMtWfMtDEkHA1CqlJ52u9c96XE9UunKi5=w408-h306-k-no
