name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar)
Sala Razzmatazz,Discoteca,Barcelona,"Carrer dels Almogàvers, 122, Sant Martí, 08018 Barcelona",salarazzmatazz.com,NO_EMAIL,933208200,4.2,20606,Cervezas y copas en una animada discoteca que ofrece conciertos y sesiones de DJs.,"[{'day': 'viernes', 'hours': '0:30–5:00'}, {'day': 'sábado', 'hours': '1:00–6:00'}, {'day': 'domingo', 'hours': '1:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': '0:30–5:00'}]",NOT_FOUND
Wolf Barcelona,Discoteca,Barcelona,"Carrer dels Almogàvers, 88, Sant Martí, 08018 Barcelona",wolfbarcelona.com,NO_EMAIL,672707844,4.3,7511,NOT_FOUND,"[{'day': 'viernes', 'hours': '0:00–5:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': 'Cerrado'}, {'day': 'jueves', 'hours': 'Cerrado'}]",Amigable con la comunidad LGTBI+
Cocteleria Torre Rosa,Coctelería,Barcelona,"Carrer de Francesc Tàrrega, 22, Sant Andreu, 08027 Barcelona",torrerosa.com,NO_EMAIL,933408854,4.4,4996,"Coctelería sencilla y acogedora, ubicada en un edificio histórico con patio, que ofrece cócteles típicos y bebidas tropicales.","[{'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}, {'day': 'domingo', 'hours': '18:00–2:30'}, {'day': 'lunes', 'hours': '18:00–2:30'}, {'day': 'martes', 'hours': '18:00–2:30'}, {'day': 'miércoles', 'hours': '18:00–2:30'}, {'day': 'jueves', 'hours': '18:00–2:30'}]",Menú
Touch Music Karaoke BARCELONA,Karaoke,Barcelona,"Carrer de Joan Miró, 8, Sant Martí, 08005 Barcelona",karaokebcn.com,touchmusic@karaokebarcelona.com,NO_PHONE,4.5,3583,"Bar karaoke con un escenario tradicional al fondo, curiosos efectos de luz y una amplia carta de canciones.",NOT_FOUND,Cerrado ⋅ Apertura: 22:00
Slow Barcelona,Discoteca,NO_CITY,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,info@slowbarcelona.es,933681455,4.5,3439,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[{'day': 'viernes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0019:00–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': '19:00–24:00'}, {'day': 'martes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'miércoles', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0019:00–24:00'}]",Menú
Bling Bling Barcelona,Discoteca,NO_CITY,"Carrer de Tuset, 8-10, Sarrià-Sant Gervasi, 08006 Barcelona",blingblingbcn.com,NO_EMAIL,664244209,3.1,3312,"Aperitivos de bar clásicos, champán y narguiles en una glamurosa discoteca de moda con pista de baile.","[{'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '0:30–6:00'}, {'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '0:30–5:00'}, {'day': 'jueves', 'hours': '0:30–5:00'}]",Menú
Dry Martini Barcelona,Coctelería,Barcelona,"Carrer d'Aribau, 162, 166, Eixample, 08036 Barcelona",drymartiniorg.com,NO_EMAIL,932175072,4.4,2976,Coctelería de tipo inglés con sillones de piel azul y muebles de madera con combinados clásicos y creativos.,"[{'day': 'viernes', 'hours': '13:00–3:00'}, {'day': 'sábado', 'hours': '13:00–3:00'}, {'day': 'domingo', 'hours': '16:30–1:00'}, {'day': 'lunes', 'hours': '13:00–2:30'}, {'day': 'martes', 'hours': '13:00–2:30'}, {'day': 'miércoles', 'hours': '13:00–2:30'}, {'day': 'jueves', 'hours': '13:00–2:30'}]",Menú
SUMMUM Nightbar,Discoteca,Barcelona,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,info@twentiesbarcelona.com,628708158,3.4,2885,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[{'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}, {'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles', 'hours': '23:55–24:00'}, {'day': 'jueves', 'hours': '0:00–5:0023:55–24:00'}]",NOT_FOUND
Nu Bcn,Restaurante de alta cocina,Barcelona,Hacer un pedido,"C. del Dr. Fleming, 12 - 14, Distrito de Sarrià-Sant Gervasi, 08017 Barcelona",NO_EMAIL,932411720,4.0,2828,"Platos de alta cocina, sushi y cócteles en un restaurante exclusivo con terraza, pista de baile y sesiones de DJs.","[{'day': 'viernes', 'hours': '13:00–3:00'}, {'day': 'sábado', 'hours': '13:00–3:00'}, {'day': 'domingo', 'hours': '13:00–2:30'}, {'day': 'lunes', 'hours': '13:00–23:30'}, {'day': 'martes', 'hours': '13:00–23:30'}, {'day': 'miércoles', 'hours': '13:00–2:30'}, {'day': 'jueves', 'hours': '13:00–2:30'}]",nu-bcn.com
Bar Viu,Bar de tapas,Barcelona,"Carrer de Rabassa, 23, Gràcia, 08024 Barcelona",facebook.com,NO_EMAIL,934638788,4.4,2670,"Taberna acogedora, con terraza y cervezas artesanales, que sirve tapas y bocadillos durante todo el día.","[{'day': 'viernes', 'hours': '9:00–1:00'}, {'day': 'sábado', 'hours': '9:00–1:00'}, {'day': 'domingo', 'hours': '9:00–24:00'}, {'day': 'lunes', 'hours': '9:00–24:00'}, {'day': 'martes', 'hours': '9:00–24:00'}, {'day': 'miércoles', 'hours': '9:00–24:00'}, {'day': 'jueves', 'hours': '9:00–24:00'}]",NOT_FOUND
