name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule
Lounge Barcelona,Club nocturno,"Carrer de Còrsega, 257, L'Eixample, 08036 Barcelona",loungebarcelona.com,637148339,Barcelona,Amigable con la comunidad LGTBI+,4.6,38,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Hyde Club Barcelona,Discoteca,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,654201006,Barcelona,NOT_FOUND,3.8,1754,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The House of Lords,Club nocturno,"Carrer de Mallorca, 184, L'Eixample, 08036 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.8,9,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
DISCO CITY HALL BARCELONA,Discoteca,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,667166789,Barcelona,Amigable con la comunidad LGTBI+,4.0,2612,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The Black Room,Club nocturno,"Rambla de Catalunya, 4, Eixample, 08007 Barcelona",facebook.com,NO_PHONE,Barcelona,NOT_FOUND,3.4,55,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Slow Barcelona,Discoteca,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,933681455,NO_CITY,Menú,4.5,3439,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Topxi music,Club musical,"Carrer de València, 358, L'Eixample, 08029 Barcelona",topximusic.com,NO_PHONE,Barcelona,NOT_FOUND,3.7,272,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Telephone nightbar,Club nocturno,"Carrer d'Aribau, 87, L'Eixample, 08036 Barcelona",instagram.com,NO_PHONE,Barcelona,NOT_FOUND,4.7,92,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
RED58,Club nocturno,"Carrer del Consell de Cent, 280, L'Eixample, 08007 Barcelona",red58.club,NO_PHONE,NO_CITY,NOT_FOUND,4.2,224,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Garage 442,Bar musical,"Av. Diagonal, 442, L'Eixample, 08037 Barcelona",garage442.com,934152231,Barcelona,Amigable con la comunidad LGTBI+,4.3,222,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
