name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Lounge Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,38,NOT_FOUND,NOT_FOUND,[object Object]
Hyde Club Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.8,1763,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
The House of Lords,Club nocturno,"Carrer de Mallorca, 184, L'Eixample, 08036 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.8,9,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
DISCO CITY HALL BARCELONA,Discoteca,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,667166789,Barcelona,Amigable con la comunidad LGTBI+,4.0,2620,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Topxi music,Club musical,"Carrer de València, 358, L'Eixample, 08029 Barcelona",topximusic.com,NO_PHONE,Barcelona,NOT_FOUND,3.7,279,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Telephone nightbar,Club nocturno,"Calle de Aribau, 87, Eixample, 08036 Barcelona",instagram.com,615684688,Barcelona,Carta,4.7,98,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
RED58,Club nocturno,"Carrer del Consell de Cent, 280, L'Eixample, 08007 Barcelona",red58.club,NO_PHONE,NO_CITY,NOT_FOUND,4.2,229,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Illusion Barcelona,Discoteca,"Carrer de Provença, 43, L'Eixample, 08029 Barcelona",illusionbarcelona.com,682277321,Barcelona,Amigable con la comunidad LGTBI+,3.7,846,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Slow Barcelona,NOT_FOUND,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,933681455,NO_CITY,Carta,4.5,3496,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Garage 442,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,230,NOT_FOUND,NOT_FOUND,[object Object]
Chica Club Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.2,185,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
DRIPMONDAY,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,11,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Twenties Barcelona,Discoteca,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,628708158,Barcelona,NOT_FOUND,3.4,2911,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Mr. French Barcelona,Discoteca,"Carrer del Comte d'Urgell, 292, L'Eixample, 08036 Barcelona",instagram.com,622865203,Barcelona,NOT_FOUND,4.3,54,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Eleven Shisha Lounge Barcelona & Cocktails,Bar con narguiles,"Carrer de Còrsega, 257, L'Eixample, 08036 Barcelona",instagram.com,646596048,Barcelona,Carta,5.0,851,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
SUMMUM Nightbar,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,1000,"Pub concurrido de aire retro, con patio, que ofrece cócteles clásicos y creativos, cervezas artesanales y vinos, y televisa fútbol.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Moeem Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,461,"Bar gay animado, con DJs que pinchan pop y reguetón, sofás acogedores y una larga lista de bebidas con ginebra.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
BLACK BOX,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.7,643,Remezclas de canciones de los 80 y los 90 en discoteca de ambiente mixta con paredes rojas y columnas.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
The Black Room,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.4,56,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
YouBarcelona - Lista Isaac,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.9,1313,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bilmax Shisha Bar,NOT_FOUND,"Calle de Aribau, 124, Eixample, 08036 Barcelona",NO_WEBSITE,674538269,Barcelona,Amigable con la comunidad LGTBI+,4.4,101,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
A Viva Voz,Karaoke,"Carrer de Rocafort, 187, L'Eixample, 08029 Barcelona",barcelonakaraoke.com,934194081,Barcelona,Amigable con la comunidad LGTBI+,4.2,1869,"Animado bar de inspiración retro, con karaoke por las noches, cócteles y cerveza.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Garage 442,Bar musical,"Av. Diagonal, 442, L'Eixample, 08037 Barcelona",garage442.com,934152231,Barcelona,Amigable con la comunidad LGTBI+,4.3,230,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Schultz,Coctelería,"Carrer de Bailèn, 169, L'Eixample, 08037 Barcelona",facebook.com,662570183,Barcelona,NOT_FOUND,4.2,349,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Illusion Barcelona,Discoteca,"Carrer de Provença, 43, L'Eixample, 08029 Barcelona",illusionbarcelona.com,682277321,Barcelona,Amigable con la comunidad LGTBI+,3.7,846,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Hyde Club Barcelona,Discoteca,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,654201006,Barcelona,NOT_FOUND,3.8,1763,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Centro Oxyzen Barcelona,Club de entretenimiento para adultos,"Gran Via de les Corts Catalanes, 532, BJ, Eixample, 08011 Barcelona",oxyzen.es,934523417,Barcelona,Amigable con la comunidad LGTBI+,4.4,44,NOT_FOUND,NOT_FOUND,[object Object]
SUMMUM Nightbar,Pub,"Calle de Aribau, 66, Eixample, 08011 Barcelona",instagram.com,933234627,Barcelona,Amigable con la comunidad LGTBI+,4.2,1000,"Pub concurrido de aire retro, con patio, que ofrece cócteles clásicos y creativos, cervezas artesanales y vinos, y televisa fútbol.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
DRIPMONDAY,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,11,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bare Nostrum Bar Coctelería Gintoniquería,Bar,"Carrer del Consell de Cent, 384, L'Eixample, 08009 Barcelona",NO_WEBSITE,687955816,Barcelona,Amigable con la comunidad LGTBI+,4.1,1154,"Bar especializado en cócteles y bebidas espirituosas, con futbolín, dardos y mesa de billar.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
DISCO CITY HALL BARCELONA,Discoteca,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,667166789,Barcelona,Amigable con la comunidad LGTBI+,4.0,2620,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
