name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Slow Barcelona,NOT_FOUND,NO_CITY,"Carrer de París, 186, L'Eixample, 08036 Barcelona",slowbarcelona.es,info@slowbarcelona.es,933681455,4.5,3496,"Cócteles clásicos y personalizados, música en directo y discoteca, en un bar de lujo con decoración inspirada en un bosque.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': '19:00–24:00'}, {'day': 'martes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '0:00–5:0019:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0019:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0019:00–24:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNnc_RGcgZT-UFIrsc0pc5QtAWRuMzZ7dtTsXxe=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMKa8WrZFWF4yBHbVJBSAkZ7DJTLPexQKGRAdHC=w213-h100-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipN8WRAzYAtBBFaKhlxl-92GqhyDQu0Zm_Xf1E4m=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMEw36lJGmWHUoPt3nb6zxLEPBbr-nN1klBHSLc=w203-h270-k-no'}"
Twenties Barcelona,Discoteca,Barcelona,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona",twentiesbarcelona.com,info@twentiesbarcelona.com,628708158,3.4,2911,"Cócteles y ritmos de reguetón y hip hop en una discoteca que recuerda a una cueva, con noches temáticas y espectáculos de luz.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': '23:55–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOl2JIYSdoO3Y5u7vIL4bLwN-_aQxpqNVl3OpBn=w137-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOzsDuHxBvJfoehE08Y2q74eDNA5sx44CidEXvr=w203-h304-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOHosOXIMD9IP-hDKru0t0IEgzn-IykDBG2S6aY=w203-h107-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNDdlwKpViz3xKAmqeSILGZzbjy9Zgm2KXAFexz=w203-h135-k-no'}"
DISCO CITY HALL BARCELONA,Discoteca,Barcelona,"Rambla de Catalunya, 2, 4, Eixample, 08007 Barcelona",cityhallbarcelona.com,NO_EMAIL,667166789,4.0,2620,"Bebidas, baile y música house, techno y hiphop en una discoteca con sótano, decoración de lujo y una terraza apacible.","[{'day': 'domingo', 'hours': '0:00–5:00'}, {'day': 'lunes', 'hours': '0:00–5:00'}, {'day': 'martes', 'hours': '0:00–5:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '0:00–5:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–5:00'}, {'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNenv4WTODHqA6kjR1udMw4IHrK_0Xd042PvHX3=w80-h112-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipN7PGz9fshALz0ORCYwJNxVSu9I35aZDg0Af7A=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMRq_Fs4PQNmPEZXt0ZzgNkHrCshJiTxa6JD13E=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMSfrFs9LKDgtsyT9BL03Nb5-g6YQd-DfZvPsdF=w203-h152-k-no'}"
Wookah Lounge Barcelona,Lounge,Barcelona,"Carrer de Balmes, 127 bis, L'Eixample, 08008 Barcelona",wookah.es,hola@wookah.es,930317847,4.8,2553,NOT_FOUND,"[{'day': 'domingo', 'hours': '16:00–2:00'}, {'day': 'lunes', 'hours': '16:00–2:00'}, {'day': 'martes', 'hours': '16:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '16:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '16:00–2:00'}, {'day': 'viernes', 'hours': '16:00–3:00'}, {'day': 'sábado', 'hours': '16:00–3:00'}]",Hacer un pedido,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMUFxAzyuD0xmcPEj00xz3VF4K94W9vThYn3H68=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPsX7ndPBiajOSYRVSWb1idr9HKSTzQgM9iD-ba=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOI_Sc_qLQhQap8pmbJatPsTKPqgF_1u02oCy_X=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMO29zzB9pu7dXgzWail3qtWOWq96fDL4ocx5Bl=w203-h135-k-no'}"
A Viva Voz,Karaoke,Barcelona,"Carrer de Rocafort, 187, L'Eixample, 08029 Barcelona",barcelonakaraoke.com,NO_EMAIL,934194081,4.2,1869,"Animado bar de inspiración retro, con karaoke por las noches, cócteles y cerveza.","[{'day': 'domingo', 'hours': '19:00–2:30'}, {'day': 'lunes', 'hours': '20:00–2:30'}, {'day': 'martes', 'hours': '20:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '20:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '19:00–2:30'}, {'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPrnphShWqsuLwOa-Q6xnW-fFgVqpQE0jxjNM2m=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMjOX9XvkMxthlWpggdgRKuIkF-4gGZ0OLgznEo=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMdFVrBA4I908vAOJBZ8r45959xfPV-u36pwAXz=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/p/AF1QipPycHIjDN_HjYmrpHlz-HaMYKfFQItxSddbK_hb=w203-h100-k-no-pi0-ya0-ro0-fo100'}"
Hyde Club Barcelona,Discoteca,Barcelona,"Passatge de Domingo, 3, L'Eixample, 08007 Barcelona",hydebcn.com,infohyde@gmail.com,654201006,3.8,1763,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–24:00'}, {'day': 'viernes', 'hours': '0:00–3:0021:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0021:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNXBRQfJ6MxwqkoZMQQx6E_39zK-aYmvYaD9ELP=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMMmUgy9QFCC8oCTOB3mte_EDj4ZHhyrBSyFX05=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipO0b6jB14bSr_IsjI3jkIeOmDJ3AWpDdY_toKnH=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPoqQbV_HQThyLGsd4aj8z67PNUv-7-8TesKXLr=w203-h135-k-no'}"
Hyde Club Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,3.8,1763,"Discoteca moderna con sesiones de DJ y un escenario pequeño con espectáculos en directo, cócteles, sushi y piscolabis.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–24:00'}, {'day': 'viernes', 'hours': '0:00–3:0021:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0021:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNXBRQfJ6MxwqkoZMQQx6E_39zK-aYmvYaD9ELP=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMMmUgy9QFCC8oCTOB3mte_EDj4ZHhyrBSyFX05=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipO0b6jB14bSr_IsjI3jkIeOmDJ3AWpDdY_toKnH=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPoqQbV_HQThyLGsd4aj8z67PNUv-7-8TesKXLr=w203-h135-k-no'}"
YouBarcelona - Lista Isaac,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,4.9,1313,NOT_FOUND,"[{'day': 'domingo', 'hours': 'Abierto 24 horas'}, {'day': 'lunes', 'hours': 'Abierto 24 horas'}, {'day': 'martes', 'hours': 'Abierto 24 horas'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Abierto 24 horas El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Abierto 24 horas'}, {'day': 'viernes', 'hours': 'Abierto 24 horas'}, {'day': 'sábado', 'hours': 'Abierto 24 horas'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOMFYBmYPcEAE7uVRIEOuq1wUWzCsFVD-UcXUEj=w149-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOMe2tru5G3Kpf6Q3FvELUptNMo1yQtcH7_fUqa=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipPVRyR_kQFwPEQgXUKStIp3uFAkkMkOGe49mgzI=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/p/AF1QipPEIj0ANMrTNDOTF8_wsvjr29SBrDkPUzQLCZBN=w203-h360-k-no'}"
Bare Nostrum Bar Coctelería Gintoniquería,Bar,Barcelona,"Carrer del Consell de Cent, 384, L'Eixample, 08009 Barcelona",NO_WEBSITE,,687955816,4.1,1154,"Bar especializado en cócteles y bebidas espirituosas, con futbolín, dardos y mesa de billar.","[{'day': 'domingo', 'hours': '19:00–2:00'}, {'day': 'lunes', 'hours': '18:00–2:00'}, {'day': 'martes', 'hours': '18:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–2:30'}, {'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMsw5jqtRHybkOacTj6nOQqE2yE65RzY815L609=w155-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMlgxqVWidM7m4-OxTbzfnmyxfGZpY6uodiJwvm=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNjqhHtTToiyzSPPa5RN_As8L1e65zEm98qws77=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPe5OjgT5B9bq8e4uC3_2EL8DjvyBPTCaJlqoEY=w203-h114-k-no'}"
La Fira Villarroel Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,3.6,1133,"Discoteca vistosa y concurrida con sofás lujosos, mesas que brillan en la oscuridad y bares.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:55–5:30'}, {'day': 'sábado', 'hours': '18:00–23:0023:55–5:30'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMGSJIZ01bK0SU8hjbtHaN2Wx3jCrnh8K6UK9n3=w173-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOXvlz78-MD8ofpQwTWO0RaV4e0cn-lMRo-Cb2E=w203-h270-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOlyM37njS9rKEP5yksVAsnGllrYKPvlthsATJG=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPwSl8_G8o6CFOyk-p5Xw2UNhsj92bZjGH2EUHN=w203-h270-k-no'}"
