name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Ballbreaker,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,[object Object]
Almo2bar,Discoteca,"59-61, Carrer de Bruniquer, 08024 Barcelona",grupalmodobar.com,932199345,Barcelona,NOT_FOUND,2.6,696,Futbolín y taburetes altos en discoteca con música actual y día dedicado al baile de swing con música en vivo.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Draco Premium Club,Discoteca,"Carrer de Ca l'Alegre de Dalt, 55, Gràcia, 08024 Barcelona",dracodisco.com,620933417,Barcelona,Servicios,4.4,663,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Duvet Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.4,773,"Iluminación tenue, zonas VIP y cócteles en una discoteca sofisticada con sesiones de DJ y noches de salsa.",NOT_FOUND,[object Object]
Gracia Latina,Bar musical,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona",facebook.com,669268167,Barcelona,NOT_FOUND,4.2,1362,"Música latina en directo, zona de baile y cócteles en un bar acogedor que ofrece clases de salsa y bachata.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
SAWU,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,[object Object]
Maison Close Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.4,59,NOT_FOUND,NOT_FOUND,[object Object]
Almodobar Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.2,875,Bar de copas y cócteles con música actual y karaoke de sofás naranjas y escenario en discoteca de dos plantas.,NOT_FOUND,[object Object]
LaKontra de Gràcia,Bar musical,"Plaça del Sol, 3, Local 1, Gràcia, 08012 Barcelona",lakontra.org,NO_PHONE,Barcelona,Amigable con la comunidad LGTBI+,4.0,116,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Sala Imperator,Discoteca,"Carrer de Còrsega, 327, Bajos, Gracia, 08037 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.4,47,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
CASA FIGARI // Bar de Jazz,Club de jazz,"Carrer del Torrent de l'Olla, 141, Gràcia, 08012 Barcelona",casafigari.com,930049975,Barcelona,Amigable con la comunidad LGTBI+,4.5,548,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Canela Dance Club,Discoteca,"Carrer de Ca l'Alegre de Dalt, 55, Gràcia, 08024 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.4,595,"Taburetes bajos, ambiente de baile e iluminación de colores en discoteca con rumba y música colombiana.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Vinil,Bar,"Carrer de Matilde, 2, Gràcia, 08012 Barcelona",instagram.com,612478295,Barcelona,Se encuentra en: Market Casa Italia Gràcia,4.5,477,"Bar acogedor que sirve cervezas de barril, vinos y cócteles con queso, tentempiés y música en directo.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
