name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
La Rovira,Bar de tapas,Barcelona,"Carrer de Rabassa, 23, Gràcia, 08024 Barcelona",facebook.com,NO_EMAIL,934638788,4.4,2709,"Taberna acogedora, con terraza y cervezas artesanales, que sirve tapas y bocadillos durante todo el día.","[{'day': 'domingo', 'hours': '9:00–24:00'}, {'day': 'lunes', 'hours': '9:00–24:00'}, {'day': 'martes', 'hours': '9:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '9:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '9:00–24:00'}, {'day': 'viernes', 'hours': '9:00–1:00'}, {'day': 'sábado', 'hours': '9:00–1:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipP3urKlxuKx1VZZ0XwNFUgtbAC8s2jObPhGmTh9=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPDXjrYG1yylkjE5SAvPmSsMJZ0zrcpAWpcjOBF=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMJ0-oZge6-kzH2q6kofc1sJNgE9LAV7A4d4l4D=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNR2fuR8cvqiZPuqQxfTzw-ZC5NBq1dgrGlk4Qm=w203-h152-k-no'}"
La Trini,Bar de tapas,Barcelona,"Carrer de Verdi, 30, Gràcia, 08012 Barcelona",latrini30.com,info@latrini30.com,932370335,4.2,1996,"Platos catalanes, cerveza artesanal y vermú en un bar acogedor con paredes de azulejos y una barra amplia.","[{'day': 'domingo', 'hours': '13:00–24:00'}, {'day': 'lunes', 'hours': '13:00–24:00'}, {'day': 'martes', 'hours': '13:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '13:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '13:00–24:00'}, {'day': 'viernes', 'hours': '13:00–24:00'}, {'day': 'sábado', 'hours': '13:00–24:00'}]",Hacer un pedido,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN7lBxUmnH4G_LG8aWz4ZVUvvpAH5MncwQoRVrk=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipO27cC8QPOIbpc5x9BuvJSZGJLRzVU6CIYzrKo2=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipO2aHt58OIdrMFUnBIaF2QrQ2ACqy7V8K1ItV0I=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPJv7hnSTMdBM7EUaBGlHkpAPWtu0L3y51ZO34R=w203-h270-k-no'}"
Gracia Latina,Bar musical,Barcelona,"Carrer de l'Or, 19, Gràcia, 08012 Barcelona",facebook.com,NO_EMAIL,669268167,4.2,1362,"Música latina en directo, zona de baile y cócteles en un bar acogedor que ofrece clases de salsa y bachata.","[{'day': 'domingo', 'hours': '21:00–2:30'}, {'day': 'lunes', 'hours': '21:00–2:30'}, {'day': 'martes', 'hours': '21:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '21:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–2:30'}, {'day': 'viernes', 'hours': '21:00–3:00'}, {'day': 'sábado', 'hours': '21:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOP3IQtapAbw5DrE4Jae4WHh3XV6bEIwGkVIRbI=w122-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB_hhq8ZEHchMQv-q11iUVBLaWGMWFC8WjEnuesgQJHfSBOALJSEfRlGbwpVGXd9rz8nCt2YF2K7tRNTKd_tOboD3S_hAsCp_DKZgmdOwixm8ZBHgyhBS0yRrRJJygM7N_qj13Bf8w=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9lrDDUUof4CyGauBPQLFi6xhGQVngXSILH9PnefcpvLODWHcjDAYGnxAUpgqWBVFR-qNBh85zRxJU0tQxNKoJTXNDZUPtnPT9xDb0auyNhkU3yEZUYwkd_KZZntEhvQQKEoqdxgA=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9sLHTr0dcP6wRcRVALZqj_CmLAe1FDp9VqeA_uSJPrxlOLFQI3NWatBsGyDRiLbcfNfFPRchH2NQUYgHsQb5t6zVCfV-Weh_pBhMyeQcakZPYrWQteaWTGAex7zXZFSNC9Wao=w203-h152-k-no'}"
Bobby Gin,Coctelería,Barcelona,"Carrer de Francisco Giner, 47, Gràcia, 08012 Barcelona",bobbygin.com,NO_EMAIL,933681892,4.3,1109,Sus gin-tonics con ginebra infusionada casera son el principal reclamo de este pub sofisticado y bohemio.,"[{'day': 'domingo', 'hours': '19:00–2:00'}, {'day': 'lunes', 'hours': '19:00–2:00'}, {'day': 'martes', 'hours': '19:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '19:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '19:00–2:00'}, {'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNTIHRCRoi_9IRRlMvopcr98Kzf4LCjjR8Pb2m6=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPSIefA6-wWIOeVk1PWXBZrr_hnKGVKtPP50rPF=w203-h203-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNE-NXzynYbUQnvzGd0EfEBpINgsJeCKopgVOWp=w203-h203-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOOf44wsPSyqd98AprjvtazCx-ytRXLalOq6feZ=w203-h203-k-no'}"
Sol de NIT,Bar,Barcelona,"Plaça del Sol, 9, Gràcia, 08012 Barcelona",sol-de-nit.eltenedor.rest,NO_EMAIL,932373937,3.6,977,"Tapas, ensaladas, raciones y cócteles en un estrecho bar con decoración ecléctica, que trabaja con ingredientes de temporada.","[{'day': 'domingo', 'hours': '11:00–2:30'}, {'day': 'lunes', 'hours': '11:00–2:30'}, {'day': 'martes', 'hours': '11:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '11:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '11:00–2:30'}, {'day': 'viernes', 'hours': '11:00–3:00'}, {'day': 'sábado', 'hours': '11:00–3:00'}]",Reclamar esta empresa,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN7tss2UvxziZ1XCSAiVIPeqG1RE-2sLccsC4Y_=w80-h106-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPe76G3KDvEm4mcVRS1osni7-o2lNqahszKiN8b=w205-h100-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipPsrm7K3CTA6YAvR66a8Woy4Iz5bqHs5zC07KKA=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNlkb5-fnnDvJ2bfZpM5ixJmaYzq8lEnr4UnZSU=w203-h152-k-no'}"
Bar El OtrO,Bar,Barcelona,"Travessera de Gràcia, 167, Gràcia, 08012 Barcelona",barelotro.com,info@barelotro.com,931478833,4.1,880,"Cócteles, incluidas opciones congeladas, cervezas y tapas servidos en un bar bohemio pintado de colores vivos.","[{'day': 'domingo', 'hours': '18:00–2:30'}, {'day': 'lunes', 'hours': '18:00–2:30'}, {'day': 'martes', 'hours': '18:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–2:30'}, {'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipO5T1tpYmyvM5vGodeujdoOWqQUmjfW0jJ_HQnH=w122-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB99rhPJanzbVWZG-Am6nfUD6QUgC7_eRiKmXoo6xURA9337hJjVJHwZA-cxXlLe-8Aew5pstpOWV1D7cs_M2Gz3HAQKya_8E00tb2aI6uyO-hjspSuanSL2bbaBUvygb1u4-P-OMw=w203-h251-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8I3xfFHbZvrbelP5baGPX-zK3CyuiQQKywbbWDs3Dqlvr6zaQ-I0FBAQEgjiEsfDpYEjOrxq0V1dDsfX_rFpqsB6eq6K8qAv9o-xtuPVRjwS-F5p9shura1eUo_-U3gMyg8Q=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMUgG-SHgMIXrojsiMyxIFUOQnis2cDUyx0X7Fb=w203-h270-k-no'}"
Almodobar Barcelona,Discoteca,Barcelona,"Carrer d'en Grassot, 36, Gràcia, 08025 Barcelona",grupalmodobar.com,NO_EMAIL,932073855,2.2,875,Bar de copas y cócteles con música actual y karaoke de sofás naranjas y escenario en discoteca de dos plantas.,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:00–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPwupffv7ygmQhySl7MmnDbu0XU7IDGntzP9gbu=w80-h118-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNlYhGg4dcfh9LhWsG53MLGhE5U53uVQ6bDRDCj=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP707XvVlQ2QVYUfhGXEMxp7q37btvQumOe2cjc=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMMe8XqUMLnbTnkKIzNYan09-EeyhMCfIi705L6=w203-h144-k-no'}"
Almodobar Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,2.2,875,Bar de copas y cócteles con música actual y karaoke de sofás naranjas y escenario en discoteca de dos plantas.,NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPwupffv7ygmQhySl7MmnDbu0XU7IDGntzP9gbu=w80-h118-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNlYhGg4dcfh9LhWsG53MLGhE5U53uVQ6bDRDCj=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP707XvVlQ2QVYUfhGXEMxp7q37btvQumOe2cjc=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMMe8XqUMLnbTnkKIzNYan09-EeyhMCfIi705L6=w203-h144-k-no'}"
Musical Maria,Bar,NO_CITY,"Carrer de Maria, 5, Gràcia, 08012 Barcelona",NO_WEBSITE,,NO_PHONE,4.5,848,"Carteles y fotografías de músicos en bar de copas rockero con empanadas y pizza, trivial musical y billar.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': '21:00–2:30'}, {'day': 'martes', 'hours': '21:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '21:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–2:30'}, {'day': 'viernes', 'hours': '21:00–3:00'}, {'day': 'sábado', 'hours': '21:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOwgr656KE_uyM6mlWWVDrk1RYKaper2Q2vDyOK=w143-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/p/AF1QipNPwEmmgo2fsKbTDjIyUhme95STv8NkMqy-LcIH=w203-h100-k-no-pi0-ya300-ro0-fo100', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipPpmrwi9_a4sR7abuRki5aqaodxJLDZmCtM_9NL=w203-h152-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNux7AlXUSBX-AOiQi6mKA1xgfpR9no1LWRj60V=w203-h114-k-no'}"
Duvet Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,3.4,773,"Iluminación tenue, zonas VIP y cócteles en una discoteca sofisticada con sesiones de DJ y noches de salsa.",NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPYfJ5lmLDNxaFYnJBAPApavwpaeI15eDJ7jskQ=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMffu03MAzsSIQkx6cqa9JGRARuP_c6HqDDoH8I=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOaAQ1Wh5UH9V1BTOHAUnCJp9LJI-NlBrF1EwlO=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNm0FFq6YjR2MJmiwVdnyQnd4VTIji-YGlSmEXc=w203-h135-k-no'}"
