name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Lennon's Club,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.8,123,NOT_FOUND,NOT_FOUND,[object Object]
Bar 1×2,Lounge,"Carrer de les Mimoses, 21, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,22,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
LOUNGE LA LIBERTAD 2,Lounge,"Carrer de Diògenes, 19, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.7,31,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
KRAW CLUB,Discoteca,"Passatge Can Polític, 13, 08907 L'Hospitalet de Llobregat, Barcelona",instagram.com,NO_PHONE,NO_CITY,NOT_FOUND,5.0,1,NOT_FOUND,NOT_FOUND,[object Object]
Karaoke Rooms Barcelona,Karaoke,Reservar una mesa,"Av. del Carrilet, 237, 08907 L'Hospitalet de Llobregat, Barcelona",675923826,NO_CITY,Carta,4.6,398,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Odisea 5.0,Bar musical,"Carrer de Barcelona, 49, 08901 L'Hospitalet de Llobregat, Barcelona",wa.link,689024401,NO_CITY,Carta,4.2,576,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Anubis,Lounge,"Carrer de Rafael Campalans, 166, 08903 L'Hospitalet de Llobregat, Barcelona",facebook.com,933325692,L'Hospitalet de Llobregat,NOT_FOUND,3.9,58,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Terraza,Lounge,"Carrer del Molí, 23, 08906 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,47,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
L'Oncle Jack Music & Cocktail Bar,Bar musical,"Carrer de les Roselles, 32, 08901 L'Hospitalet de Llobregat, Barcelona",mizuwaricocktailbar.es,692123697,L'Hospitalet de Llobregat,Amigable con la comunidad LGTBI+,4.6,654,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Vermuteria Ermita,Club nocturno,Planta G · Parroquia de Nuestra Señora de Bellvitge,"Av. Mare de Déu de Bellvitge, 3, 08907 L'Hospitalet de Llobregat, Barcelona",935417321,L'Hospitalet de Llobregat,Reclamar esta empresa,5.0,1,NOT_FOUND,NOT_FOUND,[object Object]
Casablanca Hospitalet,Bar musical,"Carrer de Rodés, 32, 34, 08901 L'HOSPITALET, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,276,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Skyfall Cocktail Club,Club nocturno,"Avinguda de la Granvia de l’Hospitalet, 144, 08907 L'Hospitalet de Llobregat, Barcelona",skyfallbcn.com,NO_PHONE,L'Hospitalet de Llobregat,Amigable con la comunidad LGTBI+,3.8,1049,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Pacheco,Lounge,"Carrer Jardí, 7, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,27,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Juanchito,Discoteca,"Carrer d'Enric Prat de la Riba, 61, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,499,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
