name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,email
Lennon's Club,Discoteca,"Av. Fabregada, 91, 08901 L'Hospitalet de Llobregat, Barcelona",lennonsclub.com,NO_PHONE,NO_CITY,NOT_FOUND,3.8,118,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
LOUNGE LA LIBERTAD 2,Lounge,"Carrer de Diògenes, 19, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.7,31,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Bar 1×2,Lounge,"Carrer de les Mimoses, 21, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,22,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Bar Odisea 5.0,Bar musical,"Carrer de Barcelona, 49, 08901 L'Hospitalet de Llobregat, Barcelona",wa.link,689024401,NO_CITY,Menú,4.2,577,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
Bar Anubis,Lounge,"Carrer de Rafael Campalans, 166, 08903 L'Hospitalet de Llobregat, Barcelona",facebook.com,933325692,L'Hospitalet de Llobregat,NOT_FOUND,3.9,58,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
Bar Terraza,Lounge,"Carrer del Molí, 23, 08906 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,47,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Karaoke Rooms Barcelona,Karaoke,Reservar una mesa,"Av. del Carrilet, 237, 08907 L'Hospitalet de Llobregat, Barcelona",675923826,NO_CITY,Menú,4.6,385,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
Casablanca Hospitalet,Bar musical,"Carrer de Rodés, 32, 34, 08901 L'HOSPITALET, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,272,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Albaicín,Bar,"Carrer de Josep Pla, 6, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,136,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Pacheco,Lounge,"Carrer Jardí, 7, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,27,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
L'Oncle Jack Music & Cocktail Bar,Bar musical,"Carrer de les Roselles, 32, 08901 L'Hospitalet de Llobregat, Barcelona",mizuwaricocktailbar.es,692123697,L'Hospitalet de Llobregat,NOT_FOUND,4.6,648,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
Juanchito,Discoteca,"Carrer d'Enric Prat de la Riba, 61, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,495,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Skyfall Cocktail Club,Club nocturno,"Avinguda de la Granvia de l’Hospitalet, 144, 08907 L'Hospitalet de Llobregat, Barcelona",skyfallbcn.com,613012610,L'Hospitalet de Llobregat,Planta 0 · Restaurant Terrum,3.9,1019,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",info@skyfallbcn.com
Bar Salvador,Lounge,"Plaça del Repartidor, 08901 Hospitalet de Llobregat (L'), Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.2,40,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Sala River,Bar con música en directo,"Carrer Santa Anna, 14, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,136,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
El ANTRO,Bar,"Carrer de Terra Baixa, 61, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.8,9,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Cocktelería Mary Pickford,Coctelería,"Carrer d'Enric Prat de la Riba, 246, 08901 L'Hospitalet de Llobregat, Barcelona",facebook.com,933379165,L'Hospitalet de Llobregat,NOT_FOUND,4.6,563,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
On The Vas,Bar musical,"Carrer Tarragona, 19, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,439,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Shisha Lounge Dejavu - Shisha Hospitalet del Llobregat,Lounge,"Carrer de Pere Pelegrí, 32, 08906 Esplugues de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,74,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Bodega Juan Carlos,Bar,"Carrer de Castelao, 28, 08902 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,260,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Skyfall Cocktail Club,Club nocturno,"Avinguda de la Granvia de l’Hospitalet, 144, 08907 L'Hospitalet de Llobregat, Barcelona",skyfallbcn.com,613012610,L'Hospitalet de Llobregat,Planta 0 · Restaurant Terrum,3.9,1019,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",info@skyfallbcn.com
Shisha Lounge Dejavu - Shisha Hospitalet del Llobregat,Lounge,"Carrer de Pere Pelegrí, 32, 08906 Esplugues de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,74,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Bar musical gotham,Bar,"C Mas, 44, 08903 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,2,NOT_FOUND,NOT_FOUND,
Vermuteria Ermita,Club nocturno,Planta G · Parroquia de Nuestra Señora de Bellvitge,"Av. Mare de Déu de Bellvitge, 3, 08907 L'Hospitalet de Llobregat, Barcelona",935417321,L'Hospitalet de Llobregat,Reclamar esta empresa,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NO_EMAIL
Bar Musical Luna,Pub,NOT_FOUND,"Av. de Josep Tarradellas i Joan, 197, 08901 L'Hospitalet de Llobregat, Barcelona",615348505,L'Hospitalet de Llobregat,NOT_FOUND,3.8,199,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
Bar Serra,Bar,"Carrer Santa Eulàlia, 100, 08902 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,708,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Bar Restaurante la Cabaña Y Club Don Royal,Club nocturno,"Carrer de Béjar, 51, Sants-Montjuïc, 08014 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,43,NOT_FOUND,NOT_FOUND,
Bar Musical Punta Dulce 2,Bar musical,"Carrer de la Renclusa, 32, 08905 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,1,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",
Apricots Camp Nou Escorts,Club nocturno,"Carrer d'Arizala, 74a, Les Corts, 08028 Barcelona",apricots.es,677854136,Barcelona,NOT_FOUND,4.7,17,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",NO_EMAIL
