name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Sala Salamandra,Sala de conciertos,L'Hospitalet de Llobregat,"Av. del Carrilet, 235, 08907 L'Hospitalet de Llobregat, Barcelona",salamandra.cat,NO_EMAIL,933370602,4.2,4254,Conciertos en vivo y sesiones de DJ en una espaciosa discoteca con barriles de aceite en la pista de baile.,NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOz4ZTCYg196iVl0H-FBA1wq9xJ-OD5EjE_wcIY=w204-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOg0j-lFAfZlQm8-5-XBvt9fa0Ib9ls71rC7RBn=w203-h117-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB_m8aRa3FSPbFJuFjl7DU5AhYlOxCQODetoyplpgernunojzo4HmsSSpJYUyxfhFqo2maF3YRhrfqEN9v3TVZoYNyIqzezSm6EvzC11C0RHH__nC-3_QTZP4F_u8kLnn6Xubi9A2g=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9c3m-uCYouv0h8eZd2EYYYdrs9ec0pkrrWIgKpAVoHyXKxvEqlI_mSbYW_6BX08h6RwtaUCLz5_g_dDkL1zEO5nQcvMWke-gWOmPt6FPl-5dbm9wWHFsyfZuDvcgfjl0LmLdyH=w203-h114-k-no'}"
Bar Cervecería El Coto,Bar,NO_CITY,"Avinguda de Can Serra, 82, 08906 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,,NO_PHONE,4.3,1170,NOT_FOUND,"[{'day': 'domingo', 'hours': '9:00–18:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '8:30–23:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '8:30–23:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '8:30–23:00'}, {'day': 'viernes', 'hours': '8:30–24:00'}, {'day': 'sábado', 'hours': '9:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNEx8QBefZ2_2lJb8o_4xnSgx2QUXL5du0DnbNl=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipM0MC5GZ0ZSCzBtWQ_7qVu0_vKFuG-jgf3m-ZfZ=w203-h271-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipPbGGofQ0F0Wug6zV2cIN0u7xcvikzv6VXjrD7l=w203-h269-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNB1hc-FXDnbHwhMP7IMKIJp-EonybyC0gWMXo3=w203-h152-k-no'}"
Skyfall Cocktail Club,Club nocturno,L'Hospitalet de Llobregat,"Avinguda de la Granvia de l’Hospitalet, 144, 08907 L'Hospitalet de Llobregat, Barcelona",skyfallbcn.com,info@skyfallbcn.com,NO_PHONE,3.8,1049,NOT_FOUND,"[{'day': 'domingo', 'hours': '17:00–24:00'}, {'day': 'lunes', 'hours': '19:00–2:00'}, {'day': 'martes', 'hours': '19:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '19:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '19:00–2:00'}, {'day': 'viernes', 'hours': '19:00–3:30'}, {'day': 'sábado', 'hours': '19:00–3:30'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOYEU9cYzQT5lvYfvm0dIn5pTQ3ee0JYsqah2uM=w128-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPDlLhjoEN2P2yqJB_0ktV1Wo0E0dJehgZZ_FDf=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB81G26NbK0vRRvgpXRq5Ex45lq9gR3i-IovHGV-16UEmrdTFtnVoDO8dXreD_jZYgiX-NjuCso1ziLca3lK-6YOsNs7n9cj43DfQ2WXj-B9EBd-PBrH15oCZLx8MLgVxI1ldTAU=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-aaEHYIaR3wvhS6hQ22Tqqv-igbZH7FS7JD7jVhHWrSuvo57a1_Piol-CbhMoPnQTcTfpvnaBjF3TTzzNvJnWxXhtc5qimlXZafJ8vJjebH3UzcPmtYONdbCGgSKXYVhc3eefy=w203-h270-k-no'}"
L'Oncle Jack Music & Cocktail Bar,Bar musical,L'Hospitalet de Llobregat,"Carrer de les Roselles, 32, 08901 L'Hospitalet de Llobregat, Barcelona",mizuwaricocktailbar.es,NO_EMAIL,692123697,4.6,654,NOT_FOUND,"[{'day': 'domingo', 'hours': '17:00–22:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–2:00'}, {'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '17:00–3:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOniT6KKlwoTF7eiMINmXt3J2B12wFsipo-txbZ=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipN1y23zeEmUvSjCpmA7QoAICJA-3cJZ7Zk1Pjzf=w203-h360-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMfxdVcx05WOnbNFzAkbY2Unyhrhzq9Xkd237fi=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipM3Vxb2TDsRNPitAenWh4SN6dWm9euOcpLUISNm=w216-h100-k-no'}"
Bar Odisea 5.0,Bar musical,NO_CITY,"Carrer de Barcelona, 49, 08901 L'Hospitalet de Llobregat, Barcelona",wa.link,NO_EMAIL,689024401,4.2,576,NOT_FOUND,"[{'day': 'domingo', 'hours': '19:00–2:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': '21:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–2:00'}, {'day': 'viernes', 'hours': '21:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOc4924CZu19ORaK3M3F2SbPvk9pPd4krk9dXOH=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPUM1hc0SjoH6TAH-PNGyoP2iMYq0BKlsciEDYc=w203-h270-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMKlKHMBk4IRU9Emd6FautZ-dFHTGTshouVPddi=w203-h361-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOxyPsIq2GqCoJLxRCuLVQ139Jp6ps_UCzStl2S=w203-h152-k-no'}"
Cocktelería Mary Pickford,Coctelería,L'Hospitalet de Llobregat,"Carrer d'Enric Prat de la Riba, 246, 08901 L'Hospitalet de Llobregat, Barcelona",facebook.com,NO_EMAIL,933379165,4.6,566,NOT_FOUND,"[{'day': 'domingo', 'hours': '19:00–2:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': '19:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '19:00–2:00'}, {'day': 'viernes', 'hours': '19:00–3:00'}, {'day': 'sábado', 'hours': '19:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMruxrZdbBOSr3H-I3mSbDdqqmpJKFHQIeRz4X_=w122-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/p/AF1QipN7jEuRu2Gjhg6TSclI7D8hw-2JEDba66LBuBRk=w203-h100-k-no-pi0-ya60-ro0-fo100', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMJTNqRMPBTd3N2CORhf5yDByah4RWrdImjzzOe=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPOrfIVwDGt8qMPeJommiKWHZI7aDfqMG16ZiQv=w203-h152-k-no'}"
Juanchito,Discoteca,NO_CITY,"Carrer d'Enric Prat de la Riba, 61, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,,NO_PHONE,3.9,499,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–17:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:00–24:00'}, {'day': 'sábado', 'hours': '0:00–17:0023:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipO6ec-IT7YRMI_g3f5goc7Sc777X0jshEnO4pAZ=w122-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB_LRQHU0aM_gfyqmsNN8Lt1HbKhX2sqBlvvrGc1-u3UjvzOqyUo0VUY6TrCz6_j5tieduvrM5GtUYsivWOPKx0Eg91heimdq5Q6VIjt4FWINdJhvpdHoA2dEuTxSJ1ot7YlZX0R=w203-h270-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9QBA792bpAhtWl0gpKtLCFdu4gniHU-iq0x85on-7lHW78V3EPCCLQOvW9vUupa2GdiKiij3WEk8mWyNIuD01Qara9ZPNISUe4FM5psgP8tgsJhgv6GAojjBpqqHIDyE7TSWaWig=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB99BtOBPm7NtdSdGwmrH_1qdXlZvawsr6bYgDv9oOID3wRWWg4RX30K5nTaCJdhmfLlQ-naT0cENAAwHxQJV-F-tS3nRnKhFpBWMwgdbPMBKBnMf32cAWea51sqwNa-yZwMYTw=w203-h149-k-no'}"
On The Vas,Bar musical,NO_CITY,"Carrer Tarragona, 19, 08901 L'Hospitalet de Llobregat, Barcelona",NO_WEBSITE,,NO_PHONE,4.3,439,NOT_FOUND,"[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:15–3:00'}, {'day': 'sábado', 'hours': '23:15–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPezJpliI__TQd2Lc_Eg4oG1dteJ5WbEmtY4iR0=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMVtQfZN9BTxSnqUXoY6eWm-9E4G2PbOr6KMwNa=w203-h135-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipOvyRK6JpewJIgI36KnSkhAEL8_C8ZLfhNHNNs1=w203-h135-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOrMn4e8W1wWPeG9gOKGBVvR7GPEXiwiiGyR8Te=w203-h135-k-no'}"
Karaoke Rooms Barcelona,Karaoke,NO_CITY,Reservar una mesa,"Av. del Carrilet, 237, 08907 L'Hospitalet de Llobregat, Barcelona",NO_EMAIL,675923826,4.6,398,NOT_FOUND,"[{'day': 'domingo', 'hours': '10:00–24:00'}, {'day': 'lunes', 'hours': '9:00–17:00'}, {'day': 'martes', 'hours': '10:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '10:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '10:00–24:00'}, {'day': 'viernes', 'hours': '10:00–2:00'}, {'day': 'sábado', 'hours': '10:00–2:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMOWD0lVXtHy_HgHo3L0uopMt0dSdsgvvM7Rayd=w148-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOZ3gEh88jeQiJ_LDWSBPelTDFyUUQidzI-u5wI=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9RvkCWFwozoDsK2My-wtch4IdY9SFaLcxLenHaiXbDrA5g1iEx7CIVQJ41FpPN9f3zymnOr4bRWCmTLGJXigeRe4WUz-Nszj70MdvcX5YTqHOnirS92oR9eKtNkaCX2BXmDrpE=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMgdoThjOlCt6MzeROMnJqv9wggyCbzYwd3xASo=w203-h126-k-no'}"
Coyotes Disco Pub Barcelona,Discoteca,Barcelona,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,NO_EMAIL,622045829,4.0,280,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}]",Reclamar esta empresa,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNkWMDU8p9lvh--cI5YzhBLy2lJyySfWTeseIby=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMwQodsFX9jEXj06HxSn43ZwrIlr3j6TuS3g4G-=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP-oaIs901jpWKMtIR577p2vj-kdsPFNx2DlxXh=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNOG2gbYY3g0Zw4RHzASElQN0W1ka-vnOCi6r7d=w203-h152-k-no'}"
