name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule
Manolo's Bar,Bar,"Carrer de Garcilaso, 161, Sant Andreu, 08027 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,104,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Bombo Maracana,Bar,"Plaça de Mossèn Clapés, 23, Sant Andreu, 08030 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.6,202,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Icon Club Barcelona,Discoteca,"Carrer de Felip II, 25, Sant Andreu, 08027 Barcelona",instagram.com,675585159,Barcelona,Reclamar esta empresa,3.4,38,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
G Y PUNTO,Bar musical,"El Palau, Av. Constitució, 111, 08740 Sant Andreu de la Barca, Barcelona",facebook.com,655237461,Sant Andreu de la Barca,Amigable con la comunidad LGTBI+,3.8,206,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Undead Dark Club,Discoteca,"Carrer Violant d'Hongria, 128, Distrito de Sants-Montjuïc, 08028 Barcelona",undeadarkclub.com,NO_PHONE,NO_CITY,NOT_FOUND,4.3,199,Oscuro local decorado con estatuas y armaduras especializado en música gothic rock o post punk.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Snoopy,Lounge,"Carrer de Sant Jordi, 5, 08740 Sant Andreu de la Barca, Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,60,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Estación,Bar,"Plaça de l'Estació, 6, Sant Andreu, 08030 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,326,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Atlantic Club Barcelona,Recinto para eventos,"Av. del Tibidabo, 56, Sarrià-Sant Gervasi, 08035 Barcelona",atlanticbarcelona.com,675273071,Barcelona,Reclamar esta empresa,3.9,275,Música comercial en una amplia discoteca de estilo modernista con terraza ajardinada y vistas a Barcelona.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Safari Disco Club Barcelona,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,934878342,Barcelona,Cerrado ⋅ Apertura: 23:59,3.8,2488,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND
Safari Disco Club Barcelona,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,934878342,Barcelona,Cerrado ⋅ Apertura: 23:59,3.8,2488,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND
SINGULAR Copas y Billares,Pub,"Carrer de Sant Antoni Maria Claret, 514, Sant Andreu, 08027 Barcelona",singularpub.com,935181113,Barcelona,Amigable con la comunidad LGTBI+,4.4,577,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Mandarina Deluxe Vintage,Discoteca,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,695922053,Barcelona,NOT_FOUND,3.9,315,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Meduza Club,Discoteca,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,695922053,Barcelona,NOT_FOUND,3.9,315,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
PULSA9,Restaurante,"Plaça de les Palmeres, 5, Sant Andreu, 08030 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,214,NOT_FOUND,NOT_FOUND
Casa SOLER,Club nocturno,"Carrer de Miquel Àngel, 19, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,10,NOT_FOUND,NOT_FOUND
Enigma Music Bar,Club nocturno,"Carrer del Taquígraf Garriga, 106, Les Corts, 08029 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,206,"Bar de moda que ofrece cócteles, cachimbas y pista de baile en un local acogedor.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Cocteleria Torre Rosa,Coctelería,"Carrer de Francesc Tàrrega, 22, Sant Andreu, 08027 Barcelona",torrerosa.com,933408854,Barcelona,Menú,4.4,4996,"Coctelería sencilla y acogedora, ubicada en un edificio histórico con patio, que ofrece cócteles típicos y bebidas tropicales.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Enka 3,Lounge,"Carrer de Sants, 384, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.5,132,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ruta 66,Bar,NOT_FOUND,"C. de Sócrates, 68, San Andrés de Palomar, 08030 Barcelona",NO_PHONE,Barcelona,NOT_FOUND,4.1,501,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Colombia,Bar,"Rambla de Fabra i Puig, 1, Sant Andreu, 08030 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,322,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Disco Bar Mami,Discoteca,"Carrer de Sants, 443, Sants-Montjuïc, 08028 Barcelona",m.facebook.com,671296949,Barcelona,Reservar una mesa,3.1,211,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Ruta 66,Bar,NOT_FOUND,"C. de Sócrates, 68, San Andrés de Palomar, 08030 Barcelona",NO_PHONE,Barcelona,NOT_FOUND,4.1,501,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
