name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Cocteleria Torre Rosa,Coctelería,Barcelona,"Carrer de Francesc Tàrrega, 22, Sant Andreu, 08027 Barcelona",torrerosa.com,NO_EMAIL,933408854,4.4,5016,"Coctelería sencilla y acogedora, ubicada en un edificio histórico con patio, que ofrece cócteles típicos y bebidas tropicales.","[{'day': 'domingo', 'hours': '18:00–2:30'}, {'day': 'lunes', 'hours': '18:00–2:30'}, {'day': 'martes', 'hours': '18:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–2:30 Horario en festivo'}, {'day': 'jueves', 'hours': '18:00–2:30'}, {'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOTLq4Pl1nLbXCFDLwJtNDPocQPQlg-23eZiBri=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOTLq4Pl1nLbXCFDLwJtNDPocQPQlg-23eZiBri=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipN62Avk2ucLBbv7boM-ZzVoBM-qrtzJ-6zGsUuQ=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMUJ7SRv9NYolwpsiMVolFlwLkusSxsQcgCg_zo=w203-h135-k-no'}"
Safari Disco Club Barcelona,Discoteca,Barcelona,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,NO_EMAIL,934878342,3.8,2499,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,Cerrado ⋅ Apertura: 18:00,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN5fdG8Qn5nEMMWQAaVQOZgkFs8dNlys06UZJBn=w137-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOJxPFcHtosuwdJZHJWxZA_ChOcaLidQ5QVCBQC=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipP7izaiH48DjsDhSvModi5cX9X_EoWEk14EuZNy=w203-h270-k-no'}"
SINGULAR Copas y Billares,Pub,Barcelona,"Carrer de Sant Antoni Maria Claret, 514, Sant Andreu, 08027 Barcelona",singularpub.com,NO_EMAIL,935181113,4.4,584,NOT_FOUND,"[{'day': 'domingo', 'hours': '16:00–1:00'}, {'day': 'lunes', 'hours': '18:00–1:00'}, {'day': 'martes', 'hours': '18:00–1:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–1:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–1:00'}, {'day': 'viernes', 'hours': '18:00–2:30'}, {'day': 'sábado', 'hours': '16:00–2:30'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNRhZ2J_PcoiqGmbd42_CBvVPqnp5jnizlVSiPT=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOBaGMt8IQWP6v9YMO3_zU8YlV703HJGIH7sB3T=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipPTtsm8aLKbDlMVwxAiBGootefA1R_5mp4k23RF=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNigudIb_l_LIiMuVOdrMWw8BCeDIjkfE0q2bir=w203-h270-k-no'}"
Canapé Premium Music Bar,Bar musical,NO_CITY,"Carrer de la Muntanya, 34, Sant Martí, 08026 Barcelona",NO_WEBSITE,,NO_PHONE,3.9,430,NOT_FOUND,"[{'day': 'domingo', 'hours': '17:00–3:00'}, {'day': 'lunes', 'hours': '21:00–3:00'}, {'day': 'martes', 'hours': '21:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '21:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–3:00'}, {'day': 'viernes', 'hours': '21:00–3:30'}, {'day': 'sábado', 'hours': '21:00–3:30'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN98eEjtc1dsgIjLeSMQuLs6zBwP9f91KGDHRXl=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPLLv4N4pGo9s5SGQN4orr2yk2JX70GCaD95tE-=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP4lhE87rV_nM3DoS11GJ3gvsdTkIByz32pEuA0=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNJT0rkBkXKZhkaf60vqimygGWioFTeQ1dMIZCY=w203-h270-k-no'}"
Bar Estación,Bar,NO_CITY,"Plaça de l'Estació, 6, Sant Andreu, 08030 Barcelona",NO_WEBSITE,,NO_PHONE,4.0,327,NOT_FOUND,"[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': '6:00–16:30'}, {'day': 'martes', 'hours': '6:00–16:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '6:00–16:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '6:00–16:30'}, {'day': 'viernes', 'hours': '6:00–16:30'}, {'day': 'sábado', 'hours': '7:00–14:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNHeV-CrdolJyzEOBxF6bo8qtG5105lhgiZAEh5=w162-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOsUwUlLQb5TOVIIlzMSXXnR9vbDQnJeIfmm9C5=w203-h270-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipNimKOrdExaycP-akVe2RIN5yKNZgrDyx4YAN-e=w203-h270-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9KIDfpAyL7aXpg5V9wIOW_xnVdGnksLemE_rCrAOx9Sfm8q5GN-YeqQXhvwo2iOYASSsifLMPEugS94idYxrSnvEmAHteqn6ASWVRFC4YRr_A4aaO0eToAZ5mGcDN2nQ7aiGBxWw=w203-h270-k-no'}"
Mandarina Deluxe Vintage,Discoteca,Barcelona,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,NO_EMAIL,695922053,3.8,321,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPTH8aoqihVApXou639aPCh7jU5BBxbHDLKktlT=w122-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-96X5qh6YeLd5fF-caHjY7qWSPdB7wnzSMPW30D_Pt3fPcteePN9m1Eqb5ILh8TZ2V0yg0IHuXKN-g_YQaN26urGWt410E2yzviiYs6kj_VZ5XttWUKrDRwZZPOX-NtwwMusOG8g=w203-h203-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMit1iR6rUWpd6tqiA1YtKGz_vP83FR_SkJQZmt=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9q6je768lOhqfdpLN2NDkQs4OF34s6CwJ9ZgACUMfIOHKwTdWgieQrCp5MuXZ3P3cGFIGGyJs-yTg--mvmtUARwCfLiPtW412_7PRxOrsBySCpIVHShc-y-RZeLlmy0gHBL8dz=w203-h152-k-no'}"
Bar Marley,Bar,NO_CITY,"31, Carrer de Joan Torras, 25, 08030 Barcelona",NO_WEBSITE,,NO_PHONE,4.1,299,NOT_FOUND,NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNWrHh-XM16RrGkYzirNOYH5nMpEJ7mCAASY9br=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNi9ExlJURfjg-1WYLJGKiu9EailcRlhY_WVqti=w216-h100-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipNWrHh-XM16RrGkYzirNOYH5nMpEJ7mCAASY9br=w203-h152-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOJTKI3qJZZBKa-GCl_ivvPpuMpRhTiCtSJ_t9v=w203-h270-k-no'}"
Atlantic Club Barcelona,Recinto para eventos,Barcelona,"Av. del Tibidabo, 56, Sarrià-Sant Gervasi, 08035 Barcelona",atlanticbarcelona.com,NO_EMAIL,675273071,3.9,289,Música comercial en una amplia discoteca de estilo modernista con terraza ajardinada y vistas a Barcelona.,"[{'day': 'domingo', 'hours': '12:00–18:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': 'Cerrado'}, {'day': 'sábado', 'hours': '12:00–18:00'}]",Reclamar esta empresa,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPrc9J40t7QER1r99NtDXlR2fBmWGc97Utv7C4I=w202-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNyvUjhaI6aMYlRtjxTcKObcem2DK2GbBbUJn0W=w203-h100-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipP0vOaMW_ObCMtxQzWzOgXJh_P2Z1WnzrPRuF3C=w203-h269-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipP2TXTVugk0kY5_bFVrPX5fQuZ87IzcP5r2lG7O=w203-h114-k-no'}"
PULSA9,Restaurante,NO_CITY,"Plaça de les Palmeres, 5, Sant Andreu, 08030 Barcelona",NO_WEBSITE,,NO_PHONE,4.1,214,NOT_FOUND,NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOe4WgyJmYQaw7KG9KSJbx18_5Gc0cRNaErFWe8=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMBZ7OveC1_p7xQnCHcGWFshK4WHNXAS6MLIhs9=w203-h203-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMuf_wtHXlcabwmk27iaKmx-fANRFeNLQZf5EZz=w203-h427-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipM5QEJ1FJLIFmSG4T6u4z-L3MRETule0tQGXfGZ=w203-h202-k-no'}"
Enigma Music Bar,Club nocturno,NO_CITY,"Carrer del Taquígraf Garriga, 106, Les Corts, 08029 Barcelona",NO_WEBSITE,,NO_PHONE,4.1,207,"Bar de moda que ofrece cócteles, cachimbas y pista de baile en un local acogedor.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:00–2:30'}, {'day': 'viernes', 'hours': '23:00–3:30'}, {'day': 'sábado', 'hours': '23:00–3:30'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPb3BSF0FQS2WYR1556EOKU9OSSX5ym8YnuJ_ws=w92-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/p/AF1QipOzBXnHtikEqg9cqqMNEezZ6CvQT8BxizVwq5wv=w203-h111-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMvpukgy4LIz_0xAEw_zOF5bppAFUydDWlzLGpO=w203-h115-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPnrWUb7abeL1lyvIYw57b_-4x5vvx-mztTn9o-=w203-h270-k-no'}"
G Y PUNTO,Bar musical,Sant Andreu de la Barca,"El Palau, Av. Constitució, 111, 08740 Sant Andreu de la Barca, Barcelona",facebook.com,NO_EMAIL,655237461,3.8,207,NOT_FOUND,"[{'day': 'domingo', 'hours': '22:00–3:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '22:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '22:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '22:00–3:00'}, {'day': 'viernes', 'hours': '22:00–3:30'}, {'day': 'sábado', 'hours': '22:00–3:30'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNMUTJguUlhGfIfzKogkae52Lcsc20Csk2Zfem1=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOnQh1MpmwyN0JDNEAEI4CW10Y771goJZ_iKBLO=w216-h100-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNVfulb0CM9AVfD63CoxfDzWHoydks_xpoIQJvz=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNIVeGxqnMk6ui6F2sdmmLz2ksAw6c4m3sFu0ad=w203-h270-k-no'}"
