name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule
Canapé Premium Music Bar,Bar musical,"Carrer de la Muntanya, 34, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,427,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
The Secret Garden Restaurant & Lounge Club,Restaurante,"Carrer de Salvador Espriu, 79, Sant Martí, 08005 Barcelona",thesecretgardenbcn.es,641464872,Barcelona,Menú,4.7,450,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
NIGHT & DAY,Pub,"Carrer dels Almogàvers, 62, Sant Martí, 08018 Barcelona",linktr.ee,622380323,NO_CITY,Menú,4.2,395,"Discoteca con zona de sofás tipo chill out más cachimbas y música de bachata, reggaeton, salsa o house.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Los Panda Lounge,Lounge,"Carrer de la Independència, 326, Sant Martí, 08026 Barcelona",facebook.com,634244970,Barcelona,NOT_FOUND,4.8,60,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Nave La Pau,Club nocturno,"Rambla de Prim, 263, Sant Martí, 08020 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,1,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Wolf Barcelona,Discoteca,"Carrer dels Almogàvers, 88, Sant Martí, 08018 Barcelona",wolfbarcelona.com,672707844,Barcelona,Amigable con la comunidad LGTBI+,4.3,7511,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
GIN CLUB SCOTCH,Club nocturno,"Carrer de Mallorca, 579, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.5,4,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Sala Razzmatazz,Discoteca,"Carrer dels Almogàvers, 122, Sant Martí, 08018 Barcelona",salarazzmatazz.com,933208200,Barcelona,NOT_FOUND,4.2,20606,Cervezas y copas en una animada discoteca que ofrece conciertos y sesiones de DJs.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
56 Lounge Bar,Lounge,"Carrer de la Marina, 56, Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,149,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Safari Disco Club Barcelona,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,934878342,Barcelona,Cerrado ⋅ Apertura: 23:59,3.8,2488,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND
Undead Dark Club,Discoteca,"Carrer Violant d'Hongria, 128, Distrito de Sants-Montjuïc, 08028 Barcelona",undeadarkclub.com,NO_PHONE,NO_CITY,NOT_FOUND,4.3,199,Oscuro local decorado con estatuas y armaduras especializado en música gothic rock o post punk.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Can Parats,Club nocturno,"Travessera de les Corts, 165, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.9,12,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Coyotes Disco Pub Barcelona,Discoteca,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,622045829,Barcelona,Reclamar esta empresa,4.0,275,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Touch Music Karaoke BARCELONA,Karaoke,"Carrer de Joan Miró, 8, Sant Martí, 08005 Barcelona",karaokebcn.com,NO_PHONE,Barcelona,Cerrado ⋅ Apertura: 22:00,4.5,3583,"Bar karaoke con un escenario tradicional al fondo, curiosos efectos de luz y una amplia carta de canciones.",NOT_FOUND
Bikini Barcelona,Discoteca,Planta B1 · L'illa Diagonal,"L'Illia, Av. Diagonal, 547, 08029 Barcelona",933220800,Barcelona,bikinibcn.com,3.8,1653,Famosa discoteca con sesiones de DJs y un escenario para conciertos en directo.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
salón de narguile,Lounge,"Carrer de Mallorca, 535, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
El Cinco Club Barcelona,Discoteca,"Plaça de Joan Llongueras, 5, Sarrià-Sant Gervasi, 08021 Barcelona",elcinco.barcelona,938580813,NO_CITY,Reservar una mesa,3.8,360,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Enigma Music Bar,Club nocturno,"Carrer del Taquígraf Garriga, 106, Les Corts, 08029 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.1,206,"Bar de moda que ofrece cócteles, cachimbas y pista de baile en un local acogedor.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Blue Space Aragó,Bar musical,"Carrer d'Aragó, 595, Sant Martí, 08026 Barcelona",facebook.com,605153636,Barcelona,NOT_FOUND,3.9,280,"Bar animado, con DJ, narguiles y cócteles clásicos, donde se pueden pedir botellas enteras.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
Bar Camarote,NOT_FOUND,"Carrer de Menorca, 72, Sant Martí, 08020 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,11,NOT_FOUND,NOT_FOUND
GREENSTATION BCN,NOT_FOUND,"Carrer del Consell de Cent, 597, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,1,NOT_FOUND,NOT_FOUND
Bóveda,NOT_FOUND,"Carrer de Pallars, 97, Sant Martí, 08018 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,2,NOT_FOUND,NOT_FOUND
PARTY HARD,NOT_FOUND,"Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
Casa Vir,NOT_FOUND,"Carrer de Llull, 248, Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
Knightcube,NOT_FOUND,"Carrer de Pallars, 65, Sant Martí, 08018 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
Sala Rasmatazz,NOT_FOUND,"Carrer de Pamplona, Sant Martí, 08018 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
TerrazaCampe,NOT_FOUND,Reclamar esta empresa,"Ptge. de Joan Goula, 1, Sant Martí, 08018 Barcelona",622662541,Barcelona,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
"""",NOT_FOUND,"Carrer de Ramon Turró, 220, Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND
GIN CLUB SCOTCH,Club nocturno,"Carrer de Mallorca, 579, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.5,4,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
56 Lounge Bar,Lounge,"Carrer de la Marina, 56, Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,149,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
