name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Canapé Premium Music Bar,Bar musical,"Carrer de la Muntanya, 34, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,430,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Los Panda Lounge,Lounge,"Carrer de la Independència, 326, Sant Martí, 08026 Barcelona",facebook.com,634244970,Barcelona,NOT_FOUND,4.8,59,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
The Secret Garden Restaurant & Lounge Club,Restaurante,"Carrer de Salvador Espriu, 79, Sant Martí, 08005 Barcelona",thesecretgardenbcn.es,641464872,Barcelona,Carta,4.7,461,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Nave La Pau,Club nocturno,"Rambla de Prim, 263, Sant Martí, 08020 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,1,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
NIGHT & DAY,Pub,"Carrer dels Almogàvers, 62, Sant Martí, 08018 Barcelona",linktr.ee,622380323,NO_CITY,Carta,4.2,433,"Discoteca con zona de sofás tipo chill out más cachimbas y música de bachata, reggaeton, salsa o house.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Safari Disco Club Barcelona,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,934878342,Barcelona,Abierto ⋅ Cierra a las 23:45,3.8,2499,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,[object Object]
Touch Music Karaoke BARCELONA,Karaoke,"Carrer de Joan Miró, 8, Sant Martí, 08005 Barcelona",karaokebcn.com,NO_PHONE,Barcelona,Abierto ⋅ Cierre: 5:00 (lun),4.5,3809,"Bar karaoke con un escenario tradicional al fondo, curiosos efectos de luz y una amplia carta de canciones.",NOT_FOUND,[object Object]
56 Lounge Bar,Lounge,"Carrer de la Marina, 56, Sant Martí, 08005 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,149,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
GIN CLUB SCOTCH,Club nocturno,"Carrer de Mallorca, 579, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.4,5,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Wolf Barcelona,Discoteca,"Carrer dels Almogàvers, 88, Sant Martí, 08018 Barcelona",wolfbarcelona.com,672707844,Barcelona,Amigable con la comunidad LGTBI+,4.3,7903,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Sala Razzmatazz,Discoteca,"Carrer dels Almogàvers, 122, Sant Martí, 08018 Barcelona",salarazzmatazz.com,933208200,Barcelona,NOT_FOUND,4.2,20845,Cervezas y copas en una animada discoteca que ofrece conciertos y sesiones de DJs.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Can Parats,Club nocturno,"Travessera de les Corts, 165, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.9,13,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Undead Dark Club,Discoteca,"Carrer Violant d'Hongria, 128, Distrito de Sants-Montjuïc, 08028 Barcelona",undeadarkclub.com,NO_PHONE,NO_CITY,NOT_FOUND,4.3,203,Oscuro local decorado con estatuas y armaduras especializado en música gothic rock o post punk.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Coyotes Disco Pub Barcelona,Discoteca,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,622045829,Barcelona,Reclamar esta empresa,4.0,280,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Caramelo,Bar musical,"Carrer Bassols, 13, Sant Martí, 08018 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.7,14,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
salón de narguile,Lounge,"Carrer de Mallorca, 535, Sant Martí, 08026 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bikini Barcelona,Discoteca,Planta B1 · L'illa Diagonal,"L'Illia, Av. Diagonal, 547, 08029 Barcelona",933220800,Barcelona,bikinibcn.com,3.8,1676,Famosa discoteca con sesiones de DJs y un escenario para conciertos en directo.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Madame George Lounge Bar,Coctelería,"Carrer de Pujades, 179, Sant Martí, 08005 Barcelona",madamegeorgebar.com,935005151,Barcelona,Amigable con la comunidad LGTBI+,4.4,808,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
El Cinco Club Barcelona,Discoteca,"Plaça de Joan Llongueras, 5, Sarrià-Sant Gervasi, 08021 Barcelona",elcinco.barcelona,938580813,NO_CITY,Reservar una mesa,3.8,361,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar La Menol,Bar,"Carrer de Fluvià, 202, Sant Martí, 08020 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.8,37,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
