name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Sala Razzmatazz,Discoteca,Barcelona,"Carrer dels Almogàvers, 122, Sant Martí, 08018 Barcelona",salarazzmatazz.com,NO_EMAIL,933208200,4.2,20845,Cervezas y copas en una animada discoteca que ofrece conciertos y sesiones de DJs.,"[{'day': 'domingo', 'hours': '1:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:30–5:00'}, {'day': 'viernes', 'hours': '0:30–5:00'}, {'day': 'sábado', 'hours': '1:00–6:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNZ7utbaKySjOY0JVTFDRC56eIBqoBc10tNb2_q=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMIjj9qvuGCfMqHoisRmAVOazbH4APvsH2WrEwJ=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOQ-UK4PBmHG2Yb1ut8Dz7JxoElB0xf_dXpNP0T=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPGBzmFRHZc3mWkrQ0MmaewR6akwPjBscOS-xai=w203-h151-k-no'}"
Wolf Barcelona,Discoteca,Barcelona,"Carrer dels Almogàvers, 88, Sant Martí, 08018 Barcelona",wolfbarcelona.com,NO_EMAIL,672707844,4.3,7903,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '0:00–5:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPA8FIGB5yFfIdDYr1TofDfoucYiMAFIBpfgpY=w154-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-Ir7FQAO_q7PZb4d4add_H2Dd0uCrP-NUrcClF-w5hJnn0MFpXcUwLm67Mgv3iFwCoJxAiY42D1GVhhHtutJhJ1a4A27_nuGtBLgMLNccDRN17WRjm4Ybv-gw6WjFlfg1pg2sR=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipM-DtHbdwES-92xwFHVXVd0mFC4qTc65qAnwEk=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9IeKbxracwMb1yLRzGuG-_sE96XE39b2dtdPE0Qtv34WjbBPq6QmZFLmOHaBPCZ2EBi8HaytgZvLoFqlqTV1sTVJhogJITP6YO8DoAtQfTZtn4oMaF_gl1la5iVYC672M_OYo=w203-h270-k-no'}"
Touch Music Karaoke BARCELONA,Karaoke,Barcelona,"Carrer de Joan Miró, 8, Sant Martí, 08005 Barcelona",karaokebcn.com,touchmusic@karaokebarcelona.com,NO_PHONE,4.5,3809,"Bar karaoke con un escenario tradicional al fondo, curiosos efectos de luz y una amplia carta de canciones.",NOT_FOUND,Abierto ⋅ Cierre: 5:00 (lun),"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOfxlKsz4vKMQc9Kua-z5Joir2_llUfhzTfnTQ5=w184-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNF9WixMtWfMtDEkHA1CqlJ52u9c96XE9UunKi5=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-W2ByG25ZHOMkG2f3XwL08-H9U-lJzx5iC90BB8YvoKFTQP7rA5KcmGGg4AxcJ5qAEk0ZJDQ2zVUqc81Y6vFS_pmup2nVl2YgtwLBoHpH9gcEj-qC5_mcSc1scnO-Uv4F-Rg=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-5MoAhr8OsFwuQVZJnHtH1EjxV-fn6RkUqz82tVina1HP1_I6PENoGYN1KpDWefcaa0OGxSO35RZtIszkVchlnxSr0zNkG_1_9dGxcpR3WMLl3md4KcSLA7ria1yrvyhBAYakh=w203-h152-k-no'}"
Safari Disco Club Barcelona,Discoteca,Barcelona,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,NO_EMAIL,934878342,3.8,2499,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,Abierto ⋅ Cierra a las 23:45,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPcEvrpqc-AEaqmvbpLtlPzn7fpeOXLuFXgwAii=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOJxPFcHtosuwdJZHJWxZA_ChOcaLidQ5QVCBQC=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipP7izaiH48DjsDhSvModi5cX9X_EoWEk14EuZNy=w203-h270-k-no'}"
Bikini Barcelona,Discoteca,Barcelona,Planta B1 · L'illa Diagonal,"L'Illia, Av. Diagonal, 547, 08029 Barcelona",NO_EMAIL,933220800,3.8,1676,Famosa discoteca con sesiones de DJs y un escenario para conciertos en directo.,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:55–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}]",bikinibcn.com,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipODsfsOMVYbJQrhipabLuW4Ze9hyPxEQTkhhrZP=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOn4beOUMswis7zxcCAb4PRpl116YObRy3_d2i0=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipM13thxTQYZPq8fHBImCjrGWEqNpiLLbcb_Rs7K=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOTV2afNcEl9WujVwKljDWyZLeBF7LecNX9w5aq=w203-h152-k-no'}"
Madame George Lounge Bar,Coctelería,Barcelona,"Carrer de Pujades, 179, Sant Martí, 08005 Barcelona",madamegeorgebar.com,NO_EMAIL,935005151,4.4,808,NOT_FOUND,"[{'day': 'domingo', 'hours': '18:00–2:00'}, {'day': 'lunes', 'hours': '18:00–2:00'}, {'day': 'martes', 'hours': '18:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–2:30'}, {'day': 'viernes', 'hours': '18:00–3:00'}, {'day': 'sábado', 'hours': '18:00–3:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOtu6xP70sMAywpFuQ1F8n4hf671L5eQBrR64gB=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMVgh-O0-Kcn3klNdQL-Kp3lD72XbFF-Qd0gNLW=w203-h185-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMYgCrP30RUlefm773V_3qm9zzQPNvO40pQsi48=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipN57KtLSfW4yY60JN5opmLRzZr1MQpkFsj8Fqe9=w203-h253-k-no'}"
The Secret Garden Restaurant & Lounge Club,Restaurante,Barcelona,"Carrer de Salvador Espriu, 79, Sant Martí, 08005 Barcelona",thesecretgardenbcn.es,NO_EMAIL,641464872,4.7,461,NOT_FOUND,"[{'day': 'domingo', 'hours': '20:00–3:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '20:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '20:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '20:00–3:00'}, {'day': 'viernes', 'hours': '20:00–3:00'}, {'day': 'sábado', 'hours': '20:00–3:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMvahzYYwLAsP6wBC31fXCRIqbjH29uMDXmjhtb=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipNKHnU7Aonh4iTTBaHkr3gctuZC7p7FcHgidRpG=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipPeywJSEHgjJ7EDJgo9w67ryu-9FGFvwBvxWOlv=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOxblFJYSsImkcX9pWSe3hotUV_5IPbQcbW-u0q=w203-h270-k-no'}"
NIGHT & DAY,Pub,NO_CITY,"Carrer dels Almogàvers, 62, Sant Martí, 08018 Barcelona",linktr.ee,NO_EMAIL,622380323,4.2,433,"Discoteca con zona de sofás tipo chill out más cachimbas y música de bachata, reggaeton, salsa o house.","[{'day': 'domingo', 'hours': '20:00–3:00'}, {'day': 'lunes', 'hours': '20:00–3:00'}, {'day': 'martes', 'hours': '20:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '20:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '20:00–3:00'}, {'day': 'viernes', 'hours': '20:00–4:00'}, {'day': 'sábado', 'hours': '20:00–4:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMoPGXoK07YAwfGkppjnc-z7vU668b9bLHODRgl=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMoPGXoK07YAwfGkppjnc-z7vU668b9bLHODRgl=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipO7CxbeU-1cll-hfh3nxPtil0HaeVZatjrD7ISV=w203-h358-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOGY3xOMs6WFgBmFZoeogotLcatO3l-2rTIqKaE=w203-h135-k-no'}"
Canapé Premium Music Bar,Bar musical,NO_CITY,"Carrer de la Muntanya, 34, Sant Martí, 08026 Barcelona",NO_WEBSITE,,NO_PHONE,3.9,430,NOT_FOUND,"[{'day': 'domingo', 'hours': '17:00–3:00'}, {'day': 'lunes', 'hours': '21:00–3:00'}, {'day': 'martes', 'hours': '21:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '21:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '21:00–3:00'}, {'day': 'viernes', 'hours': '21:00–3:30'}, {'day': 'sábado', 'hours': '21:00–3:30'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN98eEjtc1dsgIjLeSMQuLs6zBwP9f91KGDHRXl=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPLLv4N4pGo9s5SGQN4orr2yk2JX70GCaD95tE-=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP4lhE87rV_nM3DoS11GJ3gvsdTkIByz32pEuA0=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNJT0rkBkXKZhkaf60vqimygGWioFTeQ1dMIZCY=w203-h270-k-no'}"
El Cinco Club Barcelona,Discoteca,NO_CITY,"Plaça de Joan Llongueras, 5, Sarrià-Sant Gervasi, 08021 Barcelona",elcinco.barcelona,NO_EMAIL,938580813,3.8,361,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:55–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:55–24:00'}]",Reservar una mesa,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNR1EwxMhXIQ3_w36MkcXEIvjzoLL3pMuabfrfe=w138-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOSJk4Wa1ywEvBGbrqBRz0RONLVgb8pc2DVSKjC=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMxc5ZZoxtkvus7zrs3eb__xjyFj9warow-O2a9=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNR1EwxMhXIQ3_w36MkcXEIvjzoLL3pMuabfrfe=w203-h135-k-no'}"
