name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Undead Dark Club,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,203,Oscuro local decorado con estatuas y armaduras especializado en música gothic rock o post punk.,NOT_FOUND,[object Object]
Safari Disco Club Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.8,2499,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,[object Object]
Bar Restaurante la Cabaña Y Club Don Royal,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,43,NOT_FOUND,NOT_FOUND,[object Object]
Coyotes Disco Pub Barcelona,Discoteca,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,622045829,Barcelona,Reclamar esta empresa,4.0,280,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Ramblas,Club nocturno,"Carrer Daoiz i Velarde, 11-1, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,24,NOT_FOUND,NOT_FOUND,[object Object]
Hellfire Metal Club,Club nocturno,"Carrer de Violant d'Hongria Reina d'Aragó, 128, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.4,16,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Sala Club Renfe,Lounge,Se encuentra en: Barcelona-Sants,"Pl. dels Països Catalans, s/n, Sants-Montjuïc, 08014 Barcelona",NO_PHONE,NO_CITY,NOT_FOUND,3.4,36,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
M7 Club Barcelona,Discoteca,"Carrer de Mèxic, 7, Sants-Montjuïc, 08004 Barcelona",m7club.net,697341656,Barcelona,NOT_FOUND,4.4,1097,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Mandarina Deluxe Vintage,Discoteca,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,695922053,Barcelona,NOT_FOUND,3.8,321,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Casa SOLER,Club nocturno,"Carrer de Miquel Àngel, 19, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,10,NOT_FOUND,NOT_FOUND,[object Object]
Disco Bar Mami,Discoteca,"Carrer de Sants, 443, Sants-Montjuïc, 08028 Barcelona",m.facebook.com,671296949,Barcelona,Reservar una mesa,3.1,213,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Karl's,Club nocturno,"Carrer del Vallespir, 25, Bajo 2do, Distrito de Sants-Montjuïc, 08014 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,[object Object]
Margaritas Xavi,Club nocturno,"Carrer de Mèxic, 28, Sants-Montjuïc, 08004 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,14,NOT_FOUND,NOT_FOUND,[object Object]
Bar Enka 3,Lounge,"Carrer de Sants, 384, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.5,134,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Karaoke Nick,Karaoke,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,661886508,Barcelona,NOT_FOUND,3.4,1447,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
POPair Party,Club nocturno,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",popairparty.com,610857817,Barcelona,Se encuentra en: Safari Disco Club Barcelona,4.5,16,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Can Parats,Club nocturno,"Travessera de les Corts, 165, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.9,13,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
El Monumento Bar,Lounge,"Carrer del Farell, 25, Sants-Montjuïc, 08014 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.8,76,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Input - High Fidelity Dance Club,Club nocturno,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",inputbcn.com,NO_PHONE,NO_CITY,NOT_FOUND,4.1,840,"Sesiones de DJs internacionales en una discoteca con proyectores, láseres y un sistema de sonido potente.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
YASS! Barcelona | LGTBIQ+ Gay Party,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",yassparty.com,934878342,Barcelona,Amigable con la comunidad LGTBI+,3.0,91,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bananas Party,Club nocturno,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",bananasparty.com,NO_PHONE,Barcelona,Amigable con la comunidad LGTBI+,4.8,21,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Shisha Hookha Barcelona Marrakech,Lounge,"Carrer de Béjar, 66, Sants-Montjuïc, 08014 Barcelona",wa.link,653717818,NO_CITY,Carta,4.9,73,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Can Parats,Club nocturno,"Travessera de les Corts, 165, Les Corts, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.9,13,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Karaoke Nick,Karaoke,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,661886508,Barcelona,NOT_FOUND,3.4,1447,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
