name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,img1,img2
Bar Restaurante la Cabaña Y Club Don Royal,Club nocturno,"Carrer de Béjar, 51, Sants-Montjuïc, 08014 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,3.9,43,NOT_FOUND,NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipMYodTeO5KP105FSmzW9HC51h5X00szeMFsrfGZ=w124-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMYodTeO5KP105FSmzW9HC51h5X00szeMFsrfGZ=w408-h302-k-no
Undead Dark Club,Discoteca,"Carrer Violant d'Hongria, 128, Distrito de Sants-Montjuïc, 08028 Barcelona",undeadarkclub.com,NO_PHONE,NO_CITY,NOT_FOUND,4.3,199,Oscuro local decorado con estatuas y armaduras especializado en música gothic rock o post punk.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipP1rAL22QPemLDgYwO5EXXJFEUHdFT4nUugsYnE=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNRP1Sq4hLFHv6gWGbU9HnfaFd8R-lFSXln2Rfg=w408-h544-k-no
M7 Club Barcelona,Discoteca,"Carrer de Mèxic, 7, Sants-Montjuïc, 08004 Barcelona",m7club.net,697341656,Barcelona,NOT_FOUND,4.4,1092,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNJoT1uMmzI7hlNjtGhHgbDi1qxILMsa-FDGCXR=w80-h106-k-no,https://lh3.googleusercontent.com/p/AF1QipMDsProsAJ92_576nOzy5fve6DXKy-wehLjhb8b=w429-h240-k-no
Coyotes Disco Pub Barcelona,Discoteca,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,622045829,Barcelona,Reclamar esta empresa,4.0,276,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipNkWMDU8p9lvh--cI5YzhBLy2lJyySfWTeseIby=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMwQodsFX9jEXj06HxSn43ZwrIlr3j6TuS3g4G-=w408-h272-k-no
Safari Disco Club Barcelona,Discoteca,"Carrer de Tarragona, 141, Sants-Montjuïc, 08014 Barcelona",safaridiscoclub.com,934878342,Barcelona,Cerrado ⋅ Apertura: 23:59,3.8,2494,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNFuwmnpTP29aNomW5zbdIT-O_Z4rAvZGoTWVL9=w137-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w408-h306-k-no
Mandarina Deluxe Vintage,Discoteca,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,695922053,Barcelona,NOT_FOUND,3.8,320,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipM5oLF6JHc7yID9bHf-jRbw2h0IkfKxIx3YZsD5=w80-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipPEn0fNIOiUgNQY81iGSub-wUxutxZVqD7g6TfN=w408-h408-k-no
Ramblas,Club nocturno,"Carrer Daoiz i Velarde, 11-1, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.6,20,NOT_FOUND,NOT_FOUND,https://lh5.googleusercontent.com/p/AF1QipNCCgrxiN6CTgzmBMOxJML5r9a20k0Se-0vgQL0=w163-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipNCCgrxiN6CTgzmBMOxJML5r9a20k0Se-0vgQL0=w426-h240-k-no
Sala Taro,Bar musical,"Carrer de Rossend Arús, 9, Sants-Montjuïc, 08014 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.5,224,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipMpybo7rHWbYLn73djJVIK_vHYSoFU6q2cERxUp=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipPmrhIbtEMQhKW-ixBPcJir8OtyyNs6BOMi-LsG=w408-h306-k-no
Hellfire Metal Club,Club nocturno,"Carrer de Violant d'Hongria Reina d'Aragó, 128, Sants-Montjuïc, 08028 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.4,16,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipMfWu_LNpd2tUEdCsNsLdQBGUeF8fYhQZuAyk_r=w80-h106-k-no,https://lh5.googleusercontent.com/p/AF1QipMfWu_LNpd2tUEdCsNsLdQBGUeF8fYhQZuAyk_r=w408-h544-k-no
Disco Bar Mami,Discoteca,"Carrer de Sants, 443, Sants-Montjuïc, 08028 Barcelona",m.facebook.com,671296949,Barcelona,Reservar una mesa,3.1,212,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",https://lh5.googleusercontent.com/p/AF1QipPJFXydPw6OfGQvZRISduBTaGfK7WTc335x1Ivk=w122-h92-k-no,https://lh5.googleusercontent.com/p/AF1QipMY2csack0C58TMsalSBl22LlTHm9gvi5S90voP=w408-h292-k-no
