name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Sants Beer,Bar de tapas,Barcelona,"Carrer de Sants, 89, Sants-Montjuïc, 08014 Barcelona",santsbeer.com,hola@santsbeer.com,933318554,4.0,3101,"Esta acogedora taberna, con taburetes altos, dispone de carta de cervezas y ofrece un bufé libre de tapas.","[{'day': 'domingo', 'hours': '8:00–2:30'}, {'day': 'lunes', 'hours': '8:00–2:30'}, {'day': 'martes', 'hours': '8:00–2:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '8:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '7:30–2:30'}, {'day': 'viernes', 'hours': '7:30–3:00'}, {'day': 'sábado', 'hours': '8:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMEQEBme92XrnXzau5C63ACIjX4Jj0g3XW6VFzM=w204-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPBJ9FDvjBYI0kthhxzRo3cNJxaxqn4TdHItpYa=w203-h203-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB--G01_UyG3327Q4Qne-vqQNsZP-fGJhw9g0WBiIMNVnlImmvIRK7UL-kvVOXGubOhjTumpExzGiFV1HV5DyevQyOCA_sHKcLds1Ta7y3cIc17Arr1RnyKw_WYcRHQKcUWBZn6P=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-n13R59etL7Gfeb3osZhCZmMcvaKXDikC77sZ2qdR-5eFAE_H9fVqtJM4gim9vY-jLkhMOoIZtBDiZwuIGzxchX0Bh6_XGECZVf_AUocCLPAYQ5CxiM7N3w1k7INF2oZN0ADrg=w205-h100-k-no'}"
Safari Disco Club Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,3.8,2499,"Discoteca animada, que abre toda la noche, con dos pistas de bailes y fiestas temáticas.",NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNFuwmnpTP29aNomW5zbdIT-O_Z4rAvZGoTWVL9=w137-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOpeBEz6oiqIIA06_lo-9yQsVu7FdXvYu9RHWhT=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOJxPFcHtosuwdJZHJWxZA_ChOcaLidQ5QVCBQC=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipP7izaiH48DjsDhSvModi5cX9X_EoWEk14EuZNy=w203-h270-k-no'}"
La Mestressa,Bar de tapas,Barcelona,"Pl. d'Osca, 7, Sants-Montjuïc, 08014 Barcelona",lamestressa.com,NO_EMAIL,934323862,4.3,2420,"Tapas y cócteles en un acogedor bar de tapas con decoración ecléctica, famoso por sus huevos estrellados.","[{'day': 'domingo', 'hours': '13:00–24:00'}, {'day': 'lunes', 'hours': '18:00–23:30'}, {'day': 'martes', 'hours': '18:00–23:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '18:00–23:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '18:00–23:30'}, {'day': 'viernes', 'hours': '18:00–24:00'}, {'day': 'sábado', 'hours': '13:00–1:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPSZi4NCUAh0PLs5XnhbWblovbkdS0u3kdHEMV8=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPSZi4NCUAh0PLs5XnhbWblovbkdS0u3kdHEMV8=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMs5VEtZj3zOjfewwbP7VC8VZH9LWZYinzRKVF6=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNYHtUSd7wQIj36PIlCyAUYojpO2pO1B_Aqt_Sf=w203-h203-k-no'}"
Karaoke Nick,Karaoke,Barcelona,"Av. de Madrid, 160, Sants-Montjuïc, 08028 Barcelona",discotecanick.com,NO_EMAIL,661886508,3.4,1447,"Banco corrido, luces de neón y billar en bar-karaoke que también ofrece servicio de restaurante.","[{'day': 'domingo', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'lunes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'martes', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '0:00–6:0023:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–6:0023:00–24:00'}, {'day': 'viernes', 'hours': '0:00–6:0022:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0022:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPImstVqKFYFPMqCqZXP4OHMGaLIg6vzPGMexx8=w184-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-ZpkSChZnTRM4JlFXBN1mAAbNWXMkc7xHyXpuxIxkCvC1x9vhYs0GhupXHT29JLrNIhwTJ-LEByOvXwGXjy2nxOYuaVVyroBC4zZgJMkuMRFSvc_gtOrYHZTwsYfFqhILW5x4=w203-h360-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Di5q3qlLI5nogTAARBJ0aYLC-DrJHqW0MaJfi56VxGEKjsWdlkk8X_2JoSZ_L_GKH3x5lSH_MO9r8c_LqcB6kDS11eFOvNrX_BD2049vmcGhngJ90NxyYtCZwijOWFflsyRU=w203-h111-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9LsoHtF19FuCJCPRTQGBuaXfZA0q-Rtn30aS6kWEeu0M1J6cpyO6U8SYE-a3SYy0yW5IJ-SMShfcFZeYOunf415k2lSlyrvw6A4Y1ah93HKeeGucYGXsBcmSViegFKH5r5crpz=w203-h114-k-no'}"
Sala Upload Barcelona,Sala de conciertos,Barcelona,Planta G · Poble Espanyol de Barcelona,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",NO_EMAIL,NO_PHONE,4.3,1165,Actuaciones de músicos independientes modernos y sesiones de DJs en una sala dentro del histórico museo Poble Espanyol.,NOT_FOUND,NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipPolrdusUtQLEUfDSXJAlxldH-2BANZP5V54t0G=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipO79oQFrsLXN8-GtzxDevIRIN5k4vZ1No5n5DZS=w203-h152-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNoSto2YlaZBZXq7izbZJcwLRbbY_8GCJ_886pj=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPqcRqJ_VHCd3WUzz50jTGe6Pavf2v8EcQ5HEJ1=w203-h360-k-no'}"
M7 Club Barcelona,Discoteca,Barcelona,"Carrer de Mèxic, 7, Sants-Montjuïc, 08004 Barcelona",m7club.net,m7club@europe.com,697341656,4.4,1097,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:3023:45–24:00'}, {'day': 'lunes', 'hours': '0:00–5:30'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:45–24:00'}, {'day': 'viernes', 'hours': '0:00–5:3023:45–24:00'}, {'day': 'sábado', 'hours': '0:00–6:3023:45–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNJoT1uMmzI7hlNjtGhHgbDi1qxILMsa-FDGCXR=w80-h106-k-no', 'img1': 'https://lh3.googleusercontent.com/p/AF1QipMDsProsAJ92_576nOzy5fve6DXKy-wehLjhb8b=w203-h113-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipPXp_9Gj-z-Ka-WeEehkL61x3uuxA-oWc76B7xW=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/p/AF1QipNj2NSO7UU3ewoJzArBq8uwv-FlXtRoQXvcx_qj=w203-h113-k-no'}"
Input - High Fidelity Dance Club,Club nocturno,NO_CITY,"Av. de Francesc Ferrer i Guàrdia, 13, Sants-Montjuïc, 08038 Barcelona",inputbcn.com,NO_EMAIL,NO_PHONE,4.1,840,"Sesiones de DJs internacionales en una discoteca con proyectores, láseres y un sistema de sonido potente.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:59–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:59–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNCjBWy99B9gt3JUTMMIaVuaCg58oRcV01cJkP8=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPOrryIorisW5otYBI-IKkbXnsbgQrrxifCXwQq=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-qZB4C81hdSSh5XdkneKpi9s_8riijHO1k7xmXagR3uyuvuUBj-3Nhf3zLLf0FdEBn8__kAHs3Kv12TQFravyTpepIY7HMMORQBGw2yFVCW8P3WkppbJqa6K0E6xg51CvIL6s=w222-h100-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9x2NiIivnuOJIoMXaaEmyzpWKuJXrJhv37lorzRbeaNUNUO_eLNUh80rQk0Ctn-SL6ugvzMc6K5GR1RtigN0ZdG-_lK7NgXQy58ZPJZ6bCfk7NCbbCAxX9e7lbmBpjUjm1IuMCfw=w203-h152-k-no'}"
Mandarina Deluxe Vintage,Discoteca,Barcelona,"Carrer d'Alcolea, 98, Sants-Montjuïc, 08014 Barcelona",m.facebook.com,NO_EMAIL,695922053,3.8,321,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '23:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0023:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipM5oLF6JHc7yID9bHf-jRbw2h0IkfKxIx3YZsD5=w80-h106-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-96X5qh6YeLd5fF-caHjY7qWSPdB7wnzSMPW30D_Pt3fPcteePN9m1Eqb5ILh8TZ2V0yg0IHuXKN-g_YQaN26urGWt410E2yzviiYs6kj_VZ5XttWUKrDRwZZPOX-NtwwMusOG8g=w203-h203-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMit1iR6rUWpd6tqiA1YtKGz_vP83FR_SkJQZmt=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9q6je768lOhqfdpLN2NDkQs4OF34s6CwJ9ZgACUMfIOHKwTdWgieQrCp5MuXZ3P3cGFIGGyJs-yTg--mvmtUARwCfLiPtW412_7PRxOrsBySCpIVHShc-y-RZeLlmy0gHBL8dz=w203-h152-k-no'}"
Libert Swinger Club,Club nocturno,Barcelona,"Carrer de Sepúlveda, 31, L'Eixample, 08015 Barcelona",libertbcn.com,NO_EMAIL,934233635,3.6,312,NOT_FOUND,"[{'day': 'domingo', 'hours': '17:00–3:00'}, {'day': 'lunes', 'hours': '15:00–3:00'}, {'day': 'martes', 'hours': '15:00–3:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '11:00–3:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '15:00–3:00'}, {'day': 'viernes', 'hours': '15:00–5:00'}, {'day': 'sábado', 'hours': '16:00–5:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN5LdRQrkj78juH9be5CKJZG2mWD1aaso3MyEW-=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipN5LdRQrkj78juH9be5CKJZG2mWD1aaso3MyEW-=w203-h152-k-no', 'img2': 'https://lh5.googleusercontent.com/p/AF1QipMsL5mMmgzB2qr99eRrc2j-7tNHJTc17GPIWQ0v=w203-h152-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNUeyPjlhiRBwtF-m_bpjCR1ddqgN_dufhuS0le=w203-h152-k-no'}"
Coyotes Disco Pub Barcelona,Discoteca,Barcelona,"Carrer del Tenor Masini, 65, Sants-Montjuïc, 08028 Barcelona",coyotes.eatbu.com,NO_EMAIL,622045829,4.0,280,NOT_FOUND,"[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': 'Cerrado'}, {'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}]",Reclamar esta empresa,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNkWMDU8p9lvh--cI5YzhBLy2lJyySfWTeseIby=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMwQodsFX9jEXj06HxSn43ZwrIlr3j6TuS3g4G-=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipP-oaIs901jpWKMtIR577p2vj-kdsPFNx2DlxXh=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipNOG2gbYY3g0Zw4RHzASElQN0W1ka-vnOCi6r7d=w203-h152-k-no'}"
