name,category,address,website,phone,city,auxiliar,reviews_rating,num_reviews,description,schedule,images
Golden Heaven BCN,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,5.0,18,NOT_FOUND,NOT_FOUND,[object Object]
Wanasah Barcelona,Discoteca,Carta,"Av. de Sarrià, 44, Les Corts, 08029 Barcelona",666317753,Barcelona,instagram.com,3.6,67,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
EVA Night Club,Club de entretenimiento para adultos,"Carrer de Marià Cubí, 90, Sarrià-Sant Gervasi, 08021 Barcelona",instagram.com,660162652,Barcelona,NOT_FOUND,5.0,11,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Barroko's Barcelona,Discoteca,"Carrer d'Aribau, 242, Sarrià-Sant Gervasi, 08006 Barcelona",discotecabarrokos.com,932011377,Barcelona,NOT_FOUND,3.4,2298,DJs residentes y música variada en una discoteca moderna y animada con 2 salas y sofás.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Leounge Karaoke Bar,Karaoke,"Carrer del Francolí, 68, Sarrià-Sant Gervasi, 08006 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.3,104,Espejos y sofás de estilo barroco y toques en rojo crean ambiente en este bar musical apto para eventos.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bartreze,Bar,"Carrer Major de Sarrià, 115, Sarrià-Sant Gervasi, 08017 Barcelona",bartreze.com,932506499,Barcelona,NOT_FOUND,4.2,629,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Swinger Club Oops Barcelona,Club nocturno,"Carrer d'Anglí, 69, Distrito de Sarrià-Sant Gervasi, 08017 Barcelona",oops.barcelona,665138734,Barcelona,Amigable con la comunidad LGTBI+,4.1,366,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Abanico,Pub,"Carrer del Camp, 3, Sarrià-Sant Gervasi, 08021 Barcelona",abanico-barcelona.com,650291010,Barcelona,NOT_FOUND,4.4,138,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Sotavent Bar,NOT_FOUND,"Carrer Major de Sarrià, 61, Sarrià-Sant Gervasi, 08017 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.4,1045,"Pub informal con futbolín, billar, dardos, noches de trívial y partidos televisados.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
El Cinco Club Barcelona,Discoteca,"Plaça de Joan Llongueras, 5, Sarrià-Sant Gervasi, 08021 Barcelona",elcinco.barcelona,938580813,NO_CITY,Reservar una mesa,3.8,361,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Sala B Barcelona,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,2.6,51,NOT_FOUND,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Atlantic Club Barcelona,Recinto para eventos,"Av. del Tibidabo, 56, Sarrià-Sant Gervasi, 08035 Barcelona",atlanticbarcelona.com,675273071,Barcelona,Reclamar esta empresa,3.9,289,Música comercial en una amplia discoteca de estilo modernista con terraza ajardinada y vistas a Barcelona.,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
La raspa,Bar musical,"Carrer de Calvet, 23, Sarrià-Sant Gervasi, 08021 Barcelona",NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.2,5,NOT_FOUND,NOT_FOUND,[object Object]
Bling Bling Barcelona,Discoteca,"Carrer de Tuset, 8-10, Sarrià-Sant Gervasi, 08006 Barcelona",blingblingbcn.com,664244209,NO_CITY,Carta,3.1,3324,"Aperitivos de bar clásicos, champán y narguiles en una glamurosa discoteca de moda con pista de baile.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Otto Zutz Barcelona,Discoteca,"Carrer de Lincoln, 15, Sarrià-Sant Gervasi, 08006 Barcelona",ottozutz.com,669266410,Barcelona,Amigable con la comunidad LGTBI+,3.3,5055,"Discoteca con varias salas e iluminación ambiental, especializada en R&B, hiphop y reguetón.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Nu Bcn,NOT_FOUND,NO_ADDRESS,NO_WEBSITE,NO_PHONE,NO_CITY,NOT_FOUND,4.0,2840,"Platos de alta cocina, sushi y cócteles en un restaurante exclusivo con terraza, pista de baile y sesiones de DJs.","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object]
Bar Ri,Restaurante,"Plaça de Joaquim Pena, 4, Sarrià-Sant Gervasi, 08017 Barcelona",barribarcelona.com,932057856,NO_CITY,Hacer un pedido,3.9,885,"Hamburguesas, tapas y especiales del día en comedor chic y minimalista con pared de ladrillo.",NOT_FOUND,[object Object]
Vz,NOT_FOUND,NOT_FOUND,"Av. de Sarrià, 44, Les Corts, 08029 Barcelona",NO_PHONE,Barcelona,NOT_FOUND,3.8,4,NOT_FOUND,NOT_FOUND,[object Object]
