name,category,city,address,website,email,phone,reviews_rating,num_reviews,description,schedule,auxiliar(borrar),images
Mirablau,NOT_FOUND,NO_CITY,"Plaça del Doctor Andreu, s/n, Sarrià-Sant Gervasi, 08035 Barcelona",mirablaubcn.com,mirablau@mirablaubcn.com,934185879,4.3,12118,"Tapas y vinos catalanes en una terraza con vistas a la montaña, música dance y ambiente animado por las noches.","[{'day': 'domingo', 'hours': '0:00–6:0011:00–24:00'}, {'day': 'lunes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'martes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '0:00–3:0011:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'viernes', 'hours': '0:00–3:0011:00–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0011:00–24:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipN-w_CGnyxVI2RGz4ZYUo3B808R-yr_3jYpjZ5f=w163-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMFPU-N5T3BktjORbEBPQQ_RsscULq0ucrhBG10=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8q3kwydlXy8K9ctykAK4piHkm_4Y5K_x2Usz3TKNWf7OxRLkNH8BgBVLKHXDr5iYPWIoyZnTXQU5jRSZmry_Y-zPOl2zLK4ZrZRYUFXNdeUHs0MBbUpcJnCdEDrwON4SsGTJxN=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB_bZRxqP5U84t2xKQMLozpjUmFV0I18z4LzEciDPyNVVuDgsSZ9P3AqGmi4IaXD9AIC1AIRybToYO3aVQE3u_XYOXhvkyKweKVprt7gMeQZ19mpPYgE8wRpD5gpegetXllWCZOvkQ=w203-h270-k-no'}"
Bar El Tomás de Sarriá,Bar de tapas,Barcelona,"Carrer Major de Sarrià, 49, Sarrià-Sant Gervasi, 08017 Barcelona",eltomasdesarria.com,NO_EMAIL,932031077,4.3,6655,"Bar clásico, especializado en patatas fritas al estilo tradicional con salsa picante, donde se sirven tapas y cerveza artesanal.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'martes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '12:30–16:0018:30–22:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'viernes', 'hours': '12:30–16:0018:30–22:00'}, {'day': 'sábado', 'hours': '12:00–16:0018:30–22:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOZkIfbv7fTIi7LY3K8jUtENnknq_mw5dYK9k5i=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipMG0zSS6rFcCMeZ1XavyBbemBKTA-sQWmjtboNF=w244-h100-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNFFJAZbaAo016NAt-AMuAbt-s3y9jcWCj3_-Fu=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPD1CLFwpLDxVVO_QpRlQW9PUmixlooM4CRt7Km=w203-h304-k-no'}"
Luz de Gas Barcelona,Discoteca,Barcelona,"C/ de Muntaner, 246, Sarrià-Sant Gervasi, 08021 Barcelona",luzdegas.com,comunicacio@luzdegas.com,932097711,4.0,6393,"Sala de conciertos y local nocturno con una decoración refinada, lámparas de araña, escenario y bar.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:00–6:00'}, {'day': 'viernes', 'hours': '0:00–6:00'}, {'day': 'sábado', 'hours': '0:00–6:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipM02QTPvcjW6esK6ca1XOiO8z50yUd5wMxgcsGx=w163-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/p/AF1QipMkT847UdpW2fMy-Vf9h6d8fJtUEdPbP55q__iE=w203-h114-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipNJ3Vxa939kWNdZDOTCMCQPBP2qdjZPKxt3cIQw=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipMrJYMm_Do2fFw3rrIFwjxj5R5B5kqqGLFtYSEh=w203-h114-k-no'}"
Otto Zutz Barcelona,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,3.3,5055,"Discoteca con varias salas e iluminación ambiental, especializada en R&B, hiphop y reguetón.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:55–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0018:30–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMoN29MIXnuoQuLnBgZ9IrX78aeFFfItTY1cIOO=w138-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8pY87rNG6uNz4EL2cAyxIkoKMMVaaT23MmTt2JFF5d6DiBJisbJomSuqMPGOnmTkXYGfDpQay8IzcY8sxeXcurUoQO_5em9l169iRtVEu2iTgrnoB81v7v6_hd3LqllIDMuxiTqw=w203-h271-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9T2V6f8m1jAhiXxvRt33pfARHLC7v_xvbCnlLliIloWbmPA0NCzBMhNt6-vXwx2AOC-koB0u0pcQ7qv3QXFqq1mrNhMSZchPHnxq6pgmFYD20Jsluc-CDqvBFnpefriPBbaulQ=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/p/AF1QipMWAXBBxzaS_-i7akpd7aK2Ap6xLHgJv8ql9lPX=w203-h100-k-no-pi0-ya180-ro0-fo100'}"
Otto Zutz Barcelona,Discoteca,Barcelona,"Carrer de Lincoln, 15, Sarrià-Sant Gervasi, 08006 Barcelona",ottozutz.com,NO_EMAIL,669266410,3.3,5055,"Discoteca con varias salas e iluminación ambiental, especializada en R&B, hiphop y reguetón.","[{'day': 'domingo', 'hours': '0:00–6:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '23:55–24:00'}, {'day': 'viernes', 'hours': '0:00–5:0023:55–24:00'}, {'day': 'sábado', 'hours': '0:00–6:0018:30–24:00'}]",Amigable con la comunidad LGTBI+,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipMoN29MIXnuoQuLnBgZ9IrX78aeFFfItTY1cIOO=w138-h92-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8pY87rNG6uNz4EL2cAyxIkoKMMVaaT23MmTt2JFF5d6DiBJisbJomSuqMPGOnmTkXYGfDpQay8IzcY8sxeXcurUoQO_5em9l169iRtVEu2iTgrnoB81v7v6_hd3LqllIDMuxiTqw=w203-h271-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9T2V6f8m1jAhiXxvRt33pfARHLC7v_xvbCnlLliIloWbmPA0NCzBMhNt6-vXwx2AOC-koB0u0pcQ7qv3QXFqq1mrNhMSZchPHnxq6pgmFYD20Jsluc-CDqvBFnpefriPBbaulQ=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/p/AF1QipMWAXBBxzaS_-i7akpd7aK2Ap6xLHgJv8ql9lPX=w203-h100-k-no-pi0-ya180-ro0-fo100'}"
Bling Bling Barcelona,Discoteca,NO_CITY,"Carrer de Tuset, 8-10, Sarrià-Sant Gervasi, 08006 Barcelona",blingblingbcn.com,NO_EMAIL,664244209,3.1,3324,"Aperitivos de bar clásicos, champán y narguiles en una glamurosa discoteca de moda con pista de baile.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': '0:30–5:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '0:30–5:00'}, {'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '0:30–6:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipOhQUp2ae80kROr8Ff6CUhhqTfcBS-oJD6Bkvg=w137-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipOYSBXRKgbhIktKpPKNNOtuwHIhoybapSUloK8=w203-h135-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8mBwnphpgrPgeydB_HEunH29AevqsRpOzr_pa93VI8XhaqQrF38EAX3b_JyQKsvsrGIRryqotl2iggrLg6tKPoq9r5tglZc2cbkcbJvLEIAAf6lr2A3vH5lRux7RDQ_zpAB3U=w203-h114-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB9sKOgIaO_SwaeC8LagO_ezdtZmMhxUFFktImWlG-3XnXVlwcOeB6R0Sm3r7xWI5r20Jnh1eJ2LZLIbUT70SP50Og0ZlVfNv--gZCvkNPqGfzLue5bELHop8X1TF2-qxzaOAGpx=w203-h135-k-no'}"
Nu Bcn,NOT_FOUND,NO_CITY,NO_ADDRESS,NO_WEBSITE,,NO_PHONE,4.0,2840,"Platos de alta cocina, sushi y cócteles en un restaurante exclusivo con terraza, pista de baile y sesiones de DJs.","[{'day': 'domingo', 'hours': '13:00–2:30'}, {'day': 'lunes', 'hours': '13:00–23:30'}, {'day': 'martes', 'hours': '13:00–23:30'}, {'day': 'miércoles(Día del Padre)', 'hours': '13:00–2:30 El horario podría cambiar'}, {'day': 'jueves', 'hours': '13:00–2:30'}, {'day': 'viernes', 'hours': '13:00–3:00'}, {'day': 'sábado', 'hours': '13:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipP5JJiOTLzrniTTSjgze4JT4AcbGA1bjNySYQrl=w140-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipO6l7kPwRbtfUz6bfHHVXjVlQVhM2TpcXEh0PRf=w203-h132-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipMY6Jjh0IwjNv7QPc7z-ZLhd7PM21ZNBo4BpF0h=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipPR4-7NBxrDwD3AX38Hiqf1V6dZmZycBfMWDIVr=w203-h203-k-no'}"
Barroko's Barcelona,Discoteca,Barcelona,"Carrer d'Aribau, 242, Sarrià-Sant Gervasi, 08006 Barcelona",discotecabarrokos.com,NO_EMAIL,932011377,3.4,2298,DJs residentes y música variada en una discoteca moderna y animada con 2 salas y sofás.,"[{'day': 'domingo', 'hours': '0:00–6:0018:00–24:00'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': 'Cerrado'}, {'day': 'miércoles(Día del Padre)', 'hours': 'Cerrado El horario podría cambiar'}, {'day': 'jueves', 'hours': '19:00–23:00'}, {'day': 'viernes', 'hours': '0:30–6:00'}, {'day': 'sábado', 'hours': '18:00–24:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipM9xOrpPH-Vwca3w8za-oRJDUkS0GRUBRekR2g6=w122-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPtrDbLsPiVP09x8SENunZeb9VylAu1lr_Bibm_=w203-h200-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipOy4SIl9ak3yk7odx5T4L_qpPPIXyCqE8esablt=w203-h114-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipOuL5GQmV_rDqfiHePnh0MPJ2Q0a26ZDwlC1I6e=w203-h270-k-no'}"
El Canalla,Restaurante,NO_CITY,"Carrer Major de Sarrià, 95, Sarrià-Sant Gervasi, 08017 Barcelona",gruposantelmo.com,reservas@gruposantelmo.com,932058806,4.0,1198,NOT_FOUND,"[{'day': 'domingo', 'hours': '12:00–23:00'}, {'day': 'lunes', 'hours': '13:00–24:00'}, {'day': 'martes', 'hours': '13:00–24:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '13:00–24:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '13:00–24:00'}, {'day': 'viernes', 'hours': '13:00–24:00'}, {'day': 'sábado', 'hours': '12:00–24:00'}]",Carta,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipNits6HT-2-xARikVFIf31J0ZZPM_HewP2eT8t1=w184-h92-k-no', 'img1': 'https://lh5.googleusercontent.com/p/AF1QipPiw5O6nFKvU7HheO3U16VBvPTvuIN_te-bpe7u=w203-h304-k-no', 'img2': 'https://lh3.googleusercontent.com/p/AF1QipN97pNDHpTxbESQ9hYynnvfeVTtOhQrhZyBgGw7=w203-h360-k-no', 'img3': 'https://lh5.googleusercontent.com/p/AF1QipN0g9SRq2WKjplFPNcgOTWpslEXrhiO4Q6xL2bO=w203-h135-k-no'}"
Sotavent Bar,NOT_FOUND,NO_CITY,"Carrer Major de Sarrià, 61, Sarrià-Sant Gervasi, 08017 Barcelona",NO_WEBSITE,,NO_PHONE,4.4,1045,"Pub informal con futbolín, billar, dardos, noches de trívial y partidos televisados.","[{'day': 'domingo', 'hours': 'Cerrado'}, {'day': 'lunes', 'hours': 'Cerrado'}, {'day': 'martes', 'hours': '20:00–2:00'}, {'day': 'miércoles(Día del Padre)', 'hours': '20:00–2:00 El horario podría cambiar'}, {'day': 'jueves', 'hours': '20:00–2:30'}, {'day': 'viernes', 'hours': '20:00–3:00'}, {'day': 'sábado', 'hours': '20:00–3:00'}]",NOT_FOUND,"{'main': 'https://lh5.googleusercontent.com/p/AF1QipP0ECKa1iIv-Bea03NNZirlxoo5kK5NKJqVAyG4=w80-h106-k-no', 'img1': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB_5XMJ9Sz3nb7Ip9bF5cEnSTP0L8tDNzfAOJ0Ej7LFIh2dGgUE80ypV99vM2k7OkHHbsw0vPz1KEkxH-PE6YK5ovdaXQpE8VZlJG_AhYtPUR4BGrUNEsX3pnC86K5Zq9w7DoXqo=w203-h202-k-no', 'img2': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB8GLvpZj7JXHpVnvy7LRAD9YAJjhGBJL_dAKQSawhmBCw1kIEvv_l6KQ3Tr7fy3rfzScezMAiYKW5QFLpvK3-hCGL4gNPqX3Y0NAlpQDA1mEvKtFw3cZ15ckwZEW_11NU69pH_7=w203-h360-k-no', 'img3': 'https://lh3.googleusercontent.com/gps-cs-s/AB5caB-ldMUlaRx9CEEHAckb2qRZlgjSF0r6qY58sUFbGxkQONPEyW1y0DZLGe6or5Vwsp0wZFrY0zqGwJz_Exd65KTXrrCTOPiLecMNTjTqu8LZBWptRjCNhe8TrNk1K589xCxDdbVJ=w203-h152-k-no'}"
